"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3853",107448,13134,NA,NA,NA,"Tepe, EJ","0.0.2008",6.59,-75.24,2750,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3854",107582,13135,NA,NA,NA,"Tepe, EJ","0.0.2008",5.43,-75.15,2500,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3855",108264,13136,NA,NA,NA,"Tepe, EJ","0.0.2008",6.18,-75.41,2640,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3856",120441,13137,NA,NA,NA,"Rangel, O","0.0.0",5.514426,-72.91203,3000,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3857",121397,13138,NA,NA,NA,"Ochoa, CM","1.1.1992",1.179956,-76.9414,2200,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3858",121784,13139,NA,NA,NA,"Ochoa, CM","1.1.1992",6.27534,-75.68285,2800,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3859",124488,13140,NA,NA,NA,"Granados-Tochoy, JC","1.1.2004",2.472611,-76.20333,2700,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3860",107014,13141,NA,NA,NA,"Tepe, EJ","0.0.2008",-3.808333,-79.23333,2987,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3861",108289,13142,NA,NA,NA,"Tepe, EJ","0.0.2008",-2.783333,-78.61667,2438,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3862",108358,13143,NA,NA,NA,"Anderson, GJ","0.0.1997",-2.866667,-79.06667,3000,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3863",139182,13144,NA,NA,NA,"Tepe, EJ","0.10.2018",0.646417,-77.52436,2680,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3864",34756,13145,NA,NA,NA,"Knapp, S","0.0.2008",-2.09,-79.02,650,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3865",34778,13146,NA,NA,NA,"Knapp, S","0.12.2008",0.116667,-78.633333,1250,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3866",70750,13147,NA,NA,NA,"Tepe, EJ","0.0.2008",-6.813209,-77.6674,2500,"tabanoense","tabanoense","nongeophyte",NA,NA,"Potato","PER","Peru"
