"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2212",NA,7654,NA,8666,"CIP 764145","","",19.6333,-102,NA,"trifidum","trifidum","tuberous","germplasm",24,"SŠrkinen","",""
"2213",NA,7656,NA,8668,"88998","","",19.51,-103.63,2200,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2214",NA,7658,NA,8670,"89643","","",20.7175,-103.49,0,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2215",NA,7659,NA,8671,"88450","","",19.7333,-103.783,2100,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2216",NA,7660,NA,8672,"88467","","",19.9579,-103.688,2000,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2217",NA,7662,NA,8674,"90640","","",19.45,-101.72,2700,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2218",NA,7663,NA,8675,"88453","","",19.9166,-103.064,2100,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2219",NA,7664,NA,8676,"88997","","",19.46,-102.25,0,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2220",NA,7665,NA,8677,"89252","","",20.064,-103.841,2100,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2221",NA,7666,NA,8678,"80101","","",19.4865,-101.603,2400,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2222",NA,7667,NA,8679,"90118","","",19.95,-101.75,2270,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2223",NA,7668,NA,8680,"88977","","",19.39,-101.5,2720,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2224",NA,7669,NA,8681,"89767","","",19.7304,-101.179,2700,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"2225",NA,7670,NA,8682,"89610","","",19.33,-103.38,2300,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
