"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2252",NA,7725,NA,8773,"CIP 766110","","",-25.16666667,-65.86666667,3000,"vernei","vernei","tuberous","germplasm",NA,"SŠrkinen","",""
"2253",NA,7727,NA,8775,"CIP 763679","","",-23.1322,-65.5181,3922,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"2254",NA,7728,NA,8776,"CIP 763728","","",-23.2333,-65.3667,2978,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"2255",NA,7729,NA,8777,"CIP 763727","","",-23.5833,-65.2167,2950,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"2256",NA,7730,NA,8778,"CIP 763710","","",-22.2667,-65.1833,3717,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"2257",NA,7731,NA,8779,"CIP 763729","","",-22.15,-65.0333,3003,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"2258",NA,7732,NA,8780,"CIP 763028","","",-23.1667,-64.95,3600,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"2259",NA,7734,NA,8782,"CIP 763712","","",-24.2967,-64.8203,3410,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"2260",NA,7735,NA,8783,"84429","","",-24.07,-65.65,3200,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2261",NA,7736,NA,8784,"77946","","",-26.3666,-65.95,2800,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2262",NA,7737,NA,8785,"80744","","",-28.75,-66.1833,2400,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2263",NA,7738,NA,8786,"77206","","",-23.5667,-65.3667,2340,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2264",NA,7739,NA,8787,"85658","","",-26.8166,-65.2166,0,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2265",NA,7740,NA,8788,"80493","","",-25.1333,-65.5166,2700,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2266",NA,7741,NA,8789,"85881","","",-22.55,-64.5333,3150,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2267",NA,7742,NA,8790,"84441","","",-23.7166,-65.75,3100,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2268",NA,7743,NA,8791,"77947","","",-27.4069,-66.08622,2700,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2269",NA,7746,NA,8794,"83474","","",-26.2,-65.2667,3000,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2270",NA,7747,NA,8795,"88203","","",-24.8166,-66.0666,3720,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2271",NA,7748,NA,8796,"77924","","",-27.27449,-65.97274,3200,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2272",NA,7749,NA,8797,"80467","","",-25.8333,-65.5,0,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2273",NA,7751,NA,8799,"85745","","",-27.43,-66.21,2000,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2274",NA,7753,NA,8801,"78638","","",-26.8666,-65.6833,2900,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2275",NA,7754,NA,8802,"86514","","",-23.3166,-65.9333,3200,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2276",NA,7755,NA,8803,"83409","","",-27.6,-66.3833,2600,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2277",NA,7756,NA,8804,"80511","","",-27.25,-65.8666,2800,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2278",NA,7758,NA,8806,"85460","","",-22.25,-64.95,3400,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2279",NA,7759,NA,8807,"80346","","",-27.35,-66.4,2270,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2280",NA,7760,NA,8808,"83755","","",-26.6809,-66.58279,3200,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2281",NA,7761,NA,8809,"87245","","",-22.7166,-65.2333,3050,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2282",NA,7762,NA,8810,"83392","","",-23.9,-62.7833,3200,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2283",NA,7763,NA,8811,"83564","","",-26.6,-65.9166,2750,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2284",NA,7765,NA,8813,"83539","","",-27.55,-65.0333,2100,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2285",NA,7766,NA,8814,"84532","","",-26.77,-65.77,2900,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2286",NA,7767,NA,8815,"78017","","",-24.62,-65.58,3350,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2287",NA,7768,NA,8816,"80979","","",-27.9166,-66.0666,2500,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2288",NA,7769,NA,8817,"80484","","",-23.9166,-65.35,2960,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2289",NA,7770,NA,8818,"86497","","",-23.1833,-66.2166,3200,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"2290",NA,7771,NA,8819,"80486","","",-23.9,-65.45,3175,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
