"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2291",NA,7893,NA,8942,"CIP 762368","","",-13.0458,-72.9144,2849,"violaceimarmoratum","violaceimarmoratum","tuberous","germplasm",24,"SŠrkinen","",""
"2292",NA,7895,NA,8944,"CIP 763316","","",-13.2447,-72.7378,2800,"violaceimarmoratum","violaceimarmoratum","tuberous","germplasm",24,"SŠrkinen","",""
"2293",NA,7898,NA,8947,"CIP 761795","","",-13.0881,-72.6247,1416,"violaceimarmoratum","violaceimarmoratum","tuberous","germplasm",24,"SŠrkinen","",""
"2294",NA,7902,NA,8951,"CIP 762836","","",-13.1739,-72.5028,2238,"violaceimarmoratum","violaceimarmoratum","tuberous","germplasm",24,"SŠrkinen","",""
"2295",NA,7903,NA,8952,"CIP 762845","","",-12.9244,-71.92,2444,"violaceimarmoratum","violaceimarmoratum","tuberous","germplasm",24,"SŠrkinen","",""
"2296",NA,7904,NA,8953,"CIP 762171","","",-14.6833,-69.0292,2460,"violaceimarmoratum","violaceimarmoratum","tuberous","germplasm",24,"SŠrkinen","",""
"2297",NA,7905,NA,8954,"CIP 761342","","",-15.1667,-68.9667,3050,"violaceimarmoratum","violaceimarmoratum","tuberous","germplasm",24,"SŠrkinen","",""
"2298",NA,7906,NA,8955,"CIP 760330","","",-16.3167,-67.9,3222,"violaceimarmoratum","violaceimarmoratum","tuberous","germplasm",24,"SŠrkinen","",""
"2299",NA,7909,NA,8958,"CIP 760331","","",-16.1833,-67.7333,1361,"violaceimarmoratum","violaceimarmoratum","tuberous","germplasm",24,"SŠrkinen","",""
"2300",NA,7910,NA,8959,"CIP 760240","","",-17.3833,-66.15,3025,"violaceimarmoratum","violaceimarmoratum","tuberous","germplasm",24,"SŠrkinen","",""
"2301",NA,7911,NA,8960,"77108","","",-17.2833,-65.7833,3400,"violaceimarmoratum","violaceimarmoratum","tuberous","wild",NA,"SŠrkinen","",""
"2302",NA,7912,NA,8961,"77115","","",-17.55,-65.2333,3000,"violaceimarmoratum","violaceimarmoratum","tuberous","wild",NA,"SŠrkinen","",""
"2303",NA,7913,NA,8962,"91777","","",-13.51667,-71.98333,0,"violaceimarmoratum","violaceimarmoratum","tuberous","wild",NA,"SŠrkinen","",""
