"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1495",NA,937,NA,1116,"CIP 762578","","",-6.9875,-78.6764,3550,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1496",NA,950,NA,1129,"CIP 762604","","",-7.3772,-78.6311,2963,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1497",NA,956,NA,1135,"CIP 762597","","",-6.9333,-78.6083,3926,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1498",NA,960,NA,1139,"CIP 762120","","",-6.7531,-78.6003,4000,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1499",NA,961,NA,1140,"CIP 760014","","",-7.0908,-78.5797,3171,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1500",NA,963,NA,1142,"CIP 762584","","",-7.0558,-78.3758,3263,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1501",NA,972,NA,1151,"CIP 762937","","",-7.9903,-78.2483,4031,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1502",NA,974,NA,1153,"CIP 762949","","",-7.9161,-78.1689,3910,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1503",NA,975,NA,1154,"CIP 762237","","",-9.8972,-77.7447,4200,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1504",NA,979,NA,1158,"CIP 762957","","",-8.5761,-77.7211,4223,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1505",NA,980,NA,1159,"CIP 762917","","",-9.725,-77.7169,4190,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1506",NA,981,NA,1160,"CIP 761264","","",-9.8747,-77.7078,2945,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1507",NA,982,NA,1161,"CIP 765944","","",-8.5666,-77.7,4093,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1508",NA,985,NA,1164,"CIP 761474","","",-8.4544,-77.6961,4200,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1509",NA,986,NA,1165,"CIP 762534","","",-9.0939,-77.6661,3389,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1510",NA,987,NA,1166,"CIP 765948","","",-9.5333,-77.6166,4157,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1511",NA,988,NA,1167,"CIP 761557","","",-9.7814,-77.6089,3349,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1512",NA,991,NA,1170,"CIP 765947","","",-9.55,-77.5833,4091,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1513",NA,992,NA,1171,"CIP 763514","","",-9.8,-77.5675,4000,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1514",NA,993,NA,1172,"CIP 761435","","",-9.7586,-77.4428,3512,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1515",NA,995,NA,1174,"CIP 761451","","",-9.8547,-77.4028,3742,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1516",NA,998,NA,1177,"CIP 761456","","",-9.8017,-77.375,3854,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1517",NA,999,NA,1178,"CIP 761297","","",-9.9111,-77.3172,4200,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1518",NA,1001,NA,1180,"CIP 765957","","",-10.15,-77.3166,3925,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1519",NA,1002,NA,1181,"CIP 761433","","",-10.1222,-77.2953,4152,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1520",NA,1003,NA,1182,"CIP 761455","","",-9.8831,-77.2947,4247,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1521",NA,1004,NA,1183,"CIP 761434","","",-10.0906,-77.2533,4100,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1522",NA,1005,NA,1184,"CIP 761444","","",-9.3231,-77.2333,4150,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1523",NA,1006,NA,1185,"CIP 765955","","",-9.6833,-77.2333,4182,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1524",NA,1007,NA,1186,"CIP 763238","","",-9.6883,-77.2286,4248,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1525",NA,1008,NA,1187,"CIP 761429","","",-10.3794,-77.215,4400,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1526",NA,1010,NA,1189,"CIP 761446","","",-9.5883,-77.1772,3138,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1527",NA,1011,NA,1190,"CIP 760010","","",-10.6011,-76.8192,4084,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1528",NA,1012,NA,1191,"CIP 760028","","",-9.3928,-76.7211,3667,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1529",NA,1013,NA,1192,"CIP 763415","","",-9.6367,-76.6108,3900,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1530",NA,1014,NA,1193,"CIP 763421","","",-9.8792,-76.5069,3450,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"1531",NA,1015,NA,1194,"75369","","",-10.39072,-77.21607,3600,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1532",NA,1016,NA,1195,"95293","","",-9.25,-76.5,3500,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1533",NA,1018,NA,1197,"95306","","",-8.316667,-77.75,3750,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1534",NA,1019,NA,1198,"75370","","",-7.04349,-78.5895,3650,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1535",NA,1021,NA,1200,"81715","","",-9.7167,-77.4667,3500,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1536",NA,1022,NA,1201,"95187","","",-9.5333,-76.6333,3900,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1537",NA,1023,NA,1202,"81717","","",-9.7667,-77.6333,4000,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1538",NA,1024,NA,1203,"93374","","",-9.066667,-77.56667,4250,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1539",NA,1025,NA,1204,"20992","","",-9.683333,-77.23333,4350,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1540",NA,1026,NA,1205,"20996","","",-9.483333,-77.36667,3690,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1541",NA,1027,NA,1206,"94569","","",-9.16666,-77.75,4200,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1542",NA,1028,NA,1207,"95296","","",-8.9372,-78.0206,4300,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1543",NA,1029,NA,1208,"94558","","",-10.11667,-77.3,4100,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1544",NA,1030,NA,1209,"93585","","",-7.3333,-78.4167,3620,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1545",NA,1031,NA,1210,"95224","","",-8.2,-77.9,4000,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1546",NA,1032,NA,1211,"95321","","",-8.3667,-77.65,3900,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1547",NA,1033,NA,1212,"75364","","",-6.740652,-78.36092,3500,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"1548",NA,1036,NA,1215,"PI 365306","","",-10.566667,-76.9,NA,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1549",NA,1037,NA,1216,"PI 365311","","",-9.216667,-76.483333,NA,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1550",NA,1038,NA,1217,"PI 365376","","",-8.283333,-77.3,NA,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"1551",NA,1039,NA,1218,"PI 498203","","",-10.433333,-76.783333,NA,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"3606",20992,8309,NA,NA,NA,"Spooner, DM","0.0.0",-9.683333,-77.233333,4350,"albicans","albicans","tuberous",NA,NA,"Potato","PER","Peru"
