"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"304",NA,1064,NA,1281,"CIP 762800","","",-2.0136,-78.9272,3770,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"305",NA,1065,NA,1282,"CIP 762798","","",-1.6333,-78.8725,3725,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"306",NA,1066,NA,1283,"CIP 762816","","",-2.005,-78.6892,3600,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"307",NA,1067,NA,1284,"CIP 761161","","",-1.2558,-78.6094,3550,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"308",NA,1070,NA,1287,"CIP 763798","","",-0.6167,-78.5667,2786,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"309",NA,1072,NA,1289,"CIP 762802","","",-0.9189,-78.5403,2786,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"310",NA,1075,NA,1292,"CIP 761608","","",-0.7833,-78.4833,3582,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"311",NA,1076,NA,1293,"CIP 761595","","",-1.8333,-78.4167,3944,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"312",NA,1077,NA,1294,"CIP 763776","","",-2.7167,-78.25,621,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"313",NA,1078,NA,1295,"CIP 762787","","",-0.0033,-78.0622,3450,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"314",NA,1080,NA,1297,"CIP 761597","","",-1.6167,-76.7967,3200,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"315",NA,1081,NA,1298,"CIP 763792","","",-0.9333,-78.6167,2786,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"316",NA,1085,NA,1302,"CIP 761834","","",-0.0167,-78.45,2536,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"317",NA,1086,NA,1303,"CIP 763795","","",-0.3,-78.2667,2439,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"318",NA,1087,NA,1304,"CIP 763760","","",-0.3611,-78.0906,3450,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"319",NA,1088,NA,1305,"CIP 762804","","",-0.8,-77.7167,2939,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"320",NA,1090,NA,1307,"CIP 762711","","",1.0833,-77.6,2973,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"321",NA,1157,NA,1374,"473472","","",-1.244778,-78.523144,NA,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"325",NA,1166,NA,1383,"PI 246971","","",-1.616667,-79,NA,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"328",NA,1170,NA,1387,"PI 498177","","",0.9,-77.783333,NA,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"329",NA,1172,NA,1389,"PI 561654","","",-2.083333,-78.616667,NA,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
