"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3835",1711,8635,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.989577,-79.038881,250,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3836",2202,8636,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2003",-7.254214,-78.580538,2800,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3837",2436,8637,NA,NA,NA,NA,"0.0.0",-7.976338,-78.659118,1800,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3838",2543,8638,NA,NA,NA,NA,"0.0.0",-7.217493,-78.785383,2450,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3839",2551,8639,NA,NA,NA,NA,"0.0.0",-7.485343,-78.101195,2150,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3840",2559,8640,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-9.552958,-77.885897,1400,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3841",27660,8641,NA,NA,NA,"Knapp, S","0.9.2008",-5.916667,-79.166667,1600,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3842",2872,8642,NA,NA,NA,NA,"0.0.0",-7.208438,-78.68865,0,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3843",3333,8643,NA,NA,NA,NA,"0.0.0",-5.483333,-78.516667,380,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3844",3340,8644,NA,NA,NA,NA,"0.0.0",-7.989285,-78.785008,1500,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3845",3811,8645,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-4.574577,-81.122143,150,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3846",4038,8646,NA,NA,NA,NA,"0.0.0",-6.838882,-77.940438,1340,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3847",4050,8647,NA,NA,NA,NA,"0.0.0",-7.808113,-77.707798,2600,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3848",4235,8648,NA,NA,NA,NA,"0.0.0",-6.003327,-77.941823,0,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3849",4376,8649,NA,NA,NA,NA,"0.0.0",-7.97372,-78.54269,2600,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3850",4396,8650,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.869667,-77.934667,1250,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3851",4440,8651,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.534908,-78.989175,350,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3852",4447,8652,NA,NA,NA,NA,"0.0.0",-8.831,-78.667,450,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3853",5376,8653,NA,NA,NA,NA,"0.0.0",-8.159617,-78.95,400,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3854",5393,8654,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.383475,-78.8931,2500,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3855",5440,8655,NA,NA,NA,NA,"0.0.0",-6.416825,-78.838915,1720,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3856",5447,8656,NA,NA,NA,NA,"0.0.0",-6.921667,-78.271833,1800,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3857",61989,8657,NA,NA,NA,"Knapp, S","0.11.2011",-6.859869,-78.070737,0,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3858",6250,8658,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-6.62343,-79.101775,0,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3859",6257,8659,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-9.070807,-77.986262,2000,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3860",70991,8660,NA,NA,NA,"Knapp, S","2.5.2013",-6.231201,-79.38575,246,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3861",71190,8661,NA,NA,NA,"Knapp, S","0.0.2014",-6.51043,-77.58506,1670,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3862",71354,8662,NA,NA,NA,"Särkinen, T","0.5.2013",-9.20026,-77.0305,2672,"arcanum","arcanum","nongeophyte",NA,NA,"Potato","PER","Peru"
