"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3873",108024,8681,NA,NA,NA,"Nee, M","0.0.1991",-1.15,-78.3,2400,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3874",96374,8682,NA,NA,NA,"Knapp, S","0.0.2014",-1.555809,-78.72822,3300,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3875",108440,8683,NA,NA,NA,"Nee, M","0.0.1990",-7.383333,-78.9,2700,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3876",108488,8684,NA,NA,NA,"Nee, M","0.0.2001",-7.3351,-78.0123,3800,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3877",21450,8685,NA,NA,NA,"Nee, M","0.0.2001",-6.031034,-79.029252,800,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3878",21451,8686,NA,NA,NA,"Nee, M","0.0.1991",-12.95,-72.666667,1100,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3879",53826,8687,NA,NA,NA,"Tepe, EJ","15.10.2010",-6.29045,-77.9335,1750,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3880",65667,8688,NA,NA,NA,"Anderson, GJ","4.8.1978",-11.89927,-76.43111,2600,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3881",65755,8689,NA,NA,NA,"Knapp, S","29.2.2012",-5.661792,-78.93842,2206,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3882",68795,8690,NA,NA,NA,"Knapp, S","0.3.2012",-13.51745,-73.73753,2660,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3883",71069,8691,NA,NA,NA,"Särkinen, T","0.5.2013",-6.38291,-78.56381,2080,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3884",71147,8692,NA,NA,NA,"Särkinen, T","0.5.2013",-5.48106,-77.51314,1761,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3885",71149,8693,NA,NA,NA,"Knapp, S","0.0.2014",-6.1135,-77.55275,2100,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3886",71559,8694,NA,NA,NA,"Knapp, S","0.0.2014",-8.299722,-78.00503,2650,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3887",75077,8695,NA,NA,NA,"Knapp, S","0.0.2014",-6.350931,-79.12188,1998,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3888",75078,8696,NA,NA,NA,"Knapp, S","0.0.2014",-11.62513,-76.66934,2500,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3889",75697,8697,NA,NA,NA,"Knapp, S","0.5.2014",-7.966748,-78.53207,2950,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3890",75837,8698,NA,NA,NA,"Knapp, S","0.0.2014",-11.25976,-76.72941,2190,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3891",76756,8699,NA,NA,NA,"Knapp, S","0.5.2014",-10.08396,-77.49757,2800,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3892",76859,8700,NA,NA,NA,"Knapp, S","0.5.2014",-6.60773,-78.38936,2790,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3893",76860,8701,NA,NA,NA,"Knapp, S","0.5.2014",-6.253494,-77.75048,2375,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3894",76865,8702,NA,NA,NA,"Knapp, S","0.5.2014",-14.97444,-73.82853,3300,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3895",76866,8703,NA,NA,NA,"Knapp, S","0.5.2014",-8.548163,-78.2968,3234,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3896",76873,8704,NA,NA,NA,"Knapp, S","0.5.2014",-5.892778,-77.9725,1500,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3897",88223,8705,NA,NA,NA,"Knapp, S","0.0.2014",-10.19503,-77.10283,2600,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3898",88229,8706,NA,NA,NA,"Knapp, S","0.0.2014",-7.05436,-79.11102,1400,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3899",88232,8707,NA,NA,NA,"Knapp, S","0.0.2014",-10.3119,-77.19513,3600,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
"3900",99887,8708,NA,NA,NA,"Särkinen, T","11.4.2015",-11.37332,-76.40071,2547,"basendopogon","basendopogon","nongeophyte",NA,NA,"Potato","PER","Peru"
