"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1698",NA,1427,NA,1657,"CIP 762524","","",-7.0775,-78.5797,3100,"blanco-galdosii","blanco-galdosii","tuberous","germplasm",24,"SŠrkinen","",""
"1699",NA,1428,NA,1658,"CIP 760026","","",-6.4317,-78.1708,2800,"blanco-galdosii","blanco-galdosii","tuberous","germplasm",24,"SŠrkinen","",""
"1700",NA,1429,NA,1659,"CIP 761466","","",-8.5508,-77.6017,3100,"blanco-galdosii","blanco-galdosii","tuberous","germplasm",24,"SŠrkinen","",""
"1701",NA,1430,NA,1660,"CIP 762958","","",-8.4519,-77.3119,3215,"blanco-galdosii","blanco-galdosii","tuberous","germplasm",24,"SŠrkinen","",""
"1702",NA,1431,NA,1661,"65644","","",-7.353591,-78.04709,2700,"blanco-galdosii","blanco-galdosii","tuberous","wild",NA,"SŠrkinen","",""
"1703",NA,1432,NA,1662,"71026","","",-7.198909,-78.33807,2750,"blanco-galdosii","blanco-galdosii","tuberous","wild",NA,"SŠrkinen","",""
"1704",NA,1433,NA,1663,"75455","","",-7.18043,-78.51222,2800,"blanco-galdosii","blanco-galdosii","tuberous","wild",NA,"SŠrkinen","",""
"1705",NA,1434,NA,1664,"92829","","",-8.566667,-77.61667,3100,"blanco-galdosii","blanco-galdosii","tuberous","wild",NA,"SŠrkinen","",""
"1706",NA,1435,NA,1665,"94142","","",-8.47,-77.286,3215,"blanco-galdosii","blanco-galdosii","tuberous","wild",NA,"SŠrkinen","",""
"1707",NA,1436,NA,1666,"95071","","",-5.979444,-78.78139,0,"blanco-galdosii","blanco-galdosii","tuberous","wild",NA,"SŠrkinen","",""
