"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"330",NA,1438,NA,2004,"CIP 761393","","",-17.925,-65.4689,2300,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"331",NA,1439,NA,2005,"CIP 761394","","",-17.9331,-65.1669,2266,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"332",NA,1442,NA,2008,"CIP 760424","","",-18.1667,-65.1667,2293,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"333",NA,1444,NA,2010,"CIP 761076","","",-17.9333,-65.1667,2471,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"334",NA,1447,NA,2013,"CIP 760471","","",-17.7072,-65.15,3004,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"335",NA,1448,NA,2014,"CIP 760472","","",-17.7,-65.15,3004,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"336",NA,1450,NA,2016,"CIP 764189","","",-20.4167,-65.1333,NA,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"337",NA,1451,NA,2017,"CIP 762310","","",-17.7333,-64.8667,2367,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"338",NA,1453,NA,2019,"CIP 760468","","",-19.9561,-64.4769,2100,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"339",NA,1462,NA,2028,"CIP 761812","","",-14.2233,-73.0153,3545,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"340",NA,1464,NA,2030,"CIP 762928","","",-12.445,-74.7811,3345,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"341",NA,1466,NA,2032,"CIP 762926","","",-12.4061,-74.6619,2989,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"342",NA,1467,NA,2033,"CIP 763146","","",-15.6667,-69.1333,4215,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
