"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"573",NA,2209,NA,2805,"CIP 760642","","",18.85,-101.887,1880,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"574",NA,2210,NA,2806,"CIP 761898","","",19.65,-100.75,2100,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"575",NA,2211,NA,2807,"CIP 761897","","",19.3333,-100.4167,1995,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"576",NA,2212,NA,2808,"CIP 763835","","",19.5167,-100.25,1995,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"577",NA,2213,NA,2809,"CIP 761933","","",19.2883,-99.6672,2680,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"578",NA,2214,NA,2810,"CIP 761896","","",21.2167,-99.0333,1825,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"579",NA,2215,NA,2811,"CIP 761888","","",17.0333,-96.7667,1609,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"580",NA,2282,NA,2878,"595471","","",19.425475,-98.728252,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"581",NA,2283,NA,2879,"PI 243345","","",19.35,-99.2,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"582",NA,2286,NA,2882,"PI 275191","","",18.816667,-97.433333,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"583",NA,2287,NA,2883,"PI 275192","","",19.183333,-98.216667,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"584",NA,2288,NA,2884,"PI 275194","","",17.033333,-96.766667,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"585",NA,2290,NA,2886,"PI 275196","","",17.5,-96.45,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"586",NA,2291,NA,2887,"PI 275198","","",19.716667,-99.783333,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"587",NA,2292,NA,2888,"PI 275200","","",15.2115,-91.5187,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"588",NA,2295,NA,2891,"PI 498224","","",19.4,-100.35,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"589",NA,2296,NA,2892,"PI 498225","","",19.416667,-100.333333,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"590",NA,2297,NA,2893,"PI 545711","","",17.55,-99.5,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"591",NA,2298,NA,2894,"PI 604051","","",15.7667,-91.5051,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"592",NA,2299,NA,2895,"PI 604064","","",15.1551,-90.2917,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"593",NA,2301,NA,2897,"PI 604065","","",15.1717,-90.2951,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"594",NA,2302,NA,2898,"PI 604066","","",15.2151,-90.2951,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"595",NA,2304,NA,2900,"PI 604073","","",15.3113,-91.5183,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"596",NA,2305,NA,2901,"PI 604074","","",15.1551,-91.5483,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
