"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"597",NA,2306,NA,2947,"CIP 763007","","",-15.8744,-68.6417,NA,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"598",NA,2307,NA,2948,"CIP 760019","","",-8.2672,-77.8525,3176,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"599",NA,2308,NA,2949,"CIP 761836","","",-9.5167,-76.7583,3939,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"600",NA,2309,NA,2950,"CIP 762069","","",-10.5633,-76.5731,3000,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"601",NA,2312,NA,2953,"CIP 761194","","",-10.4922,-76.5169,3384,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"602",NA,2313,NA,2954,"CIP 761053","","",-10.4786,-76.3236,2800,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"603",NA,2314,NA,2955,"CIP 760016","","",-10.1297,-76.2044,2077,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"604",NA,2315,NA,2956,"CIP 761841","","",-10.1767,-76.1883,2223,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"605",NA,2317,NA,2958,"CIP 761195","","",-10.3389,-76.1833,2693,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"606",NA,2318,NA,2959,"CIP 762068","","",-10.2622,-76.1489,2726,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"607",NA,2319,NA,2960,"CIP 760012","","",-9.8742,-76.8119,3607,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"608",NA,2320,NA,2961,"CIP 762628","","",-10.8375,-76.7981,3280,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"609",NA,2321,NA,2962,"CIP 761510","","",-10.5761,-76.7675,3947,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"610",NA,2322,NA,2963,"CIP 762079","","",-11.7022,-76.7094,2348,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"611",NA,2323,NA,2964,"CIP 761157","","",-9.7483,-76.6481,3449,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"612",NA,2325,NA,2966,"CIP 764043","","",-11.7708,-76.6114,1874,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"613",NA,2326,NA,2967,"CIP 761201","","",-11.4061,-76.5761,3643,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"614",NA,2328,NA,2969,"CIP 761572","","",-11.5608,-76.4431,3465,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
