"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"4084",39413,9714,NA,NA,NA,"Knapp, S","15.10.2009",-14.251668,-73.217273,2887,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4085",14686,9698,NA,NA,NA,"Knapp, S","0.0.2002",-13.653209,-72.905438,2100,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4086",68841,9718,NA,NA,NA,"Knapp, S","0.0.2014",-13.53918,-72.71728,2673,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4087",68797,9717,NA,NA,NA,"Knapp, S","0.5.2014",-13.52235,-73.77215,2261,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4088",39415,9716,NA,NA,NA,"Knapp, S","15.10.2009",-13.47685,-72.451678,2870,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4089",21509,9702,NA,NA,NA,"Knapp, S","0.0.1989",-13.3525,-72.059167,2900,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4090",132681,9697,NA,NA,NA,"Särkinen, T","20.11.0",-13.27361,-71.61747,2940,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4091",68862,9719,NA,NA,NA,"Knapp, S","0.0.2014",-13.254,-72.26713,2945,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4092",21518,9707,NA,NA,NA,"Nee, M","0.0.1996",-12.866706,-72.685289,1110,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4093",76881,9724,NA,NA,NA,"Knapp, S","0.5.2014",-12.50234,-74.96656,3200,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4094",39414,9715,NA,NA,NA,"Knapp, S","15.10.2009",-11.205082,-75.457088,2600,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4095",34820,9713,NA,NA,NA,"Knapp, S","0.0.1986",-10.760874,-76.869973,3000,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4096",21516,9705,NA,NA,NA,"Correll, DS","0.0.1967",-9.375841,-77.55218,2960,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4097",21514,9703,NA,NA,NA,"Ochoa, CM","0.0.1986",-8.95,-77.716667,3350,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4098",87884,9728,NA,NA,NA,"Cano, A","0.0.2013",-8.257446,-77.80991,3600,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4099",21445,9699,NA,NA,NA,"Knapp, S","0.0.2001",-7.924864,-78.184742,2900,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4100",23815,9710,NA,NA,NA,"Knapp, S","0.0.1995",-7.725698,-77.891161,2300,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4101",21507,9700,NA,NA,NA,"Nee, M","0.0.1999",-7.343073,-78.945486,2700,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4102",71200,9721,NA,NA,NA,"Knapp, S","0.0.2014",-7.13144,-78.16378,2760,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4103",23828,9712,NA,NA,NA,"Knapp, S","0.9.1987",-6.713488,-79.023878,1150,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4104",23816,9711,NA,NA,NA,"Knapp, S","0.0.1994",-6.180802,-79.354619,3300,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4105",76882,9725,NA,NA,NA,"Knapp, S","0.5.2014",-6.076389,-78.3625,2710,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4106",76880,9723,NA,NA,NA,"Knapp, S","0.5.2014",-6,-78.8666,630,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4107",21515,9704,NA,NA,NA,NA,"0.0.0",-5.960998,-79.677519,1150,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4108",21517,9706,NA,NA,NA,"Correll, DS","0.0.1967",-5.941146,-79.578428,1760,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4109",76893,9727,NA,NA,NA,"Knapp, S","0.5.2014",-5.637862,-78.56608,400,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4110",23814,9709,NA,NA,NA,"Knapp, S","0.5.2013",-5.4,-79.6,1350,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4111",21942,9708,NA,NA,NA,"Knapp, S","0.5.2014",-5.316667,-78.666667,900,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4112",21508,9701,NA,NA,NA,"Nee, M","0.0.2001",-5.145297,-79.423115,2250,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4113",71111,9720,NA,NA,NA,"Tepe, EJ","0.1.2018",-5.10932,-79.04409,1470,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4114",75314,9722,NA,NA,NA,"Knapp, S","0.2.2014",-5.059664,-79.72557,2900,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4115",76891,9726,NA,NA,NA,"Knapp, S","0.5.2014",-5.057778,-78.95,1650,"caripense","caripense","nongeophyte",NA,NA,"Potato","PER","Peru"
"4116",23800,9683,NA,NA,NA,"Knapp, S","0.0.1996",-4.091667,-79.933333,2400,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4117",31,9692,NA,NA,NA,"Verugo, A","2.7.2002",-3.952454,-79.163211,2270,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4118",23812,9687,NA,NA,NA,"Knapp, S","0.0.1992",-3.616667,-79.266667,2900,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4119",30,9691,NA,NA,NA,"Cerón, CE","1.6.2002",-2.76,-78.669722,2703,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4120",29,9690,NA,NA,NA,"Cerón, CE","18.4.2002",-2.538056,-78.874722,3113,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4121",23810,9686,NA,NA,NA,"Knapp, S","0.0.1995",-1.916667,-79.083333,2100,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4122",96099,9695,NA,NA,NA,"Tepe, EJ","0.0.2011",-1.844083,-78.57783,3050,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4123",23807,9685,NA,NA,NA,"Knapp, S","0.0.1987",-1.3,-78.416667,2950,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4124",23806,9684,NA,NA,NA,"Knapp, S","0.0.1987",-1.25,-78.783333,3150,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4125",9377,9694,NA,NA,NA,"Cerón, CE","0.0.1994",-0.95,-78.55,3000,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4126",19303,9682,NA,NA,NA,NA,"0.0.0",-0.517806,-78.611944,3220,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4127",23813,9688,NA,NA,NA,"Knapp, S","0.0.1995",-0.083333,-78.583333,3200,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4128",53,9693,NA,NA,NA,"Peñafiel, M","0.0.1991",0.3,-78.366667,2900,"caripense","caripense","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4129",120526,9667,NA,NA,NA,"Amaya, M","1.1.1994",1.1525,-77.99283,1800,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4130",115938,9665,NA,NA,NA,"Jaramillo M, R","0.0.0",4.102731,-74.42371,2450,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4131",112241,9664,NA,NA,NA,"Orozco, CI","0.0.2000",4.199752,-75.68103,2700,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4132",112081,9661,NA,NA,NA,"Ochoa, CM","0.0.0",4.32991,-73.94577,2100,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4133",125115,9673,NA,NA,NA,"Lozano C, G","1.1.1982",4.51638,-75.61456,0,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4134",117231,9666,NA,NA,NA,"Lozano C, G","0.0.0",4.647919,-74.32694,2600,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4135",122079,9670,NA,NA,NA,"Díaz-Piedrahita, S","1.1.1980",4.725,-75.2681,3300,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4136",112143,9663,NA,NA,NA,"Spooner, DM","0.0.1992",4.773723,-74.06251,2600,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4137",123342,9671,NA,NA,NA,"Hernández S, M","1.1.2002",4.998569,-74.15199,2800,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4138",121927,9669,NA,NA,NA,NA,"0.0.0",5.083611,-75.49583,2250,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4139",112132,9662,NA,NA,NA,"Orozco, CI","0.0.2003",5.101389,-73.78639,2700,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4140",111983,9659,NA,NA,NA,"Granados-Tochoy, JC","0.0.2004",5.46953,-73.64399,2900,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4141",111980,9658,NA,NA,NA,"Orozco, CI","0.0.2008",5.4907,-73.0739,3027,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4142",125168,9674,NA,NA,NA,"Rangel, O","0.0.0",5.55,-72.91667,3050,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4143",111965,9657,NA,NA,NA,"Orozco, CI","0.0.1999",5.724125,-73.37383,2900,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4144",23825,9676,NA,NA,NA,"Nee, M","0.0.1997",6.033,-75.429001,2180,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4145",111927,9655,NA,NA,NA,"Correll, DS","0.0.1962",6.22575,-75.51508,2000,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4146",111959,9656,NA,NA,NA,"Correll, DS","0.0.1962",6.25893,-72.5639,2900,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4147",123948,9672,NA,NA,NA,"Rivera-Díaz, O","0.0.0",6.455555,-76.12055,3200,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4148",121766,9668,NA,NA,NA,"Lozano C, G","1.1.1996",6.4625,-72.39,3750,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4149",97431,9679,NA,NA,NA,"Bohs, L","0.0.2000",8.79,-82.95,1300,"caripense","caripense","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"4150",7888,9696,NA,NA,NA,"Knapp, S","0.0.2000",8.85,-82.75,1500,"caripense","caripense","nongeophyte",NA,NA,"Potato","PAN","Panama"
"4151",23811,9729,NA,NA,NA,"Dorr, LJ","0.0.1999",9.216667,-70.2,2000,"caripense","caripense","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"4152",74123,9677,NA,NA,NA,"Bohs, L","0.10.2003",9.34,-83.2725,1600,"caripense","caripense","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"4153",74124,9678,NA,NA,NA,"Bohs, L","0.10.2003",9.766667,-83.95,1450,"caripense","caripense","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"4154",125275,9675,NA,NA,NA,"Garzón-Venegas, J","1.1.2006",9.984696,-73.02848,2526,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4155",112021,9660,NA,NA,NA,"Nee, M","0.0.1995",10.08333,-73.15,1800,"caripense","caripense","nongeophyte",NA,NA,"Potato","COL","Colombia"
