"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"4243",2102,10252,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.74226,-68.688297,2600,"chmielewskii","chmielewskii","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4244",4571,10253,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.705,-67.8772,2550,"chmielewskii","chmielewskii","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4245",33473,10255,NA,NA,NA,"Knapp, S","0.9.2008",-13.513473,-73.715338,2920,"chmielewskii","chmielewskii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4246",4141,10256,NA,NA,NA,"Knapp, S","0.10.2009",-13.958135,-73.153838,2300,"chmielewskii","chmielewskii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4247",4698,10257,NA,NA,NA,"Knapp, S","0.8.2004",-13.556,-72.628,2100,"chmielewskii","chmielewskii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4248",5062,10258,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-13.639452,-73.472573,2900,"chmielewskii","chmielewskii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4249",65210,10259,NA,NA,NA,"Knapp, S","0.2.2012",-13.79727,-72.95872,1982,"chmielewskii","chmielewskii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4250",66175,10260,NA,NA,NA,NA,"0.0.0",-13.40033,-73.89255,3037,"chmielewskii","chmielewskii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4251",71733,10261,NA,NA,NA,"Knapp, S","0.0.2013",-13.40722,-72.8425,1200,"chmielewskii","chmielewskii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4252",71734,10262,NA,NA,NA,"Knapp, S","0.0.2013",-13.46722,-72.49861,2600,"chmielewskii","chmielewskii","nongeophyte",NA,NA,"Potato","PER","Peru"
