"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1708",NA,3556,NA,4260,"CIP 761540","","",-6.6592,-78.8439,2593,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1709",NA,3560,NA,4264,"CIP 763603","","",-6.9875,-78.6764,3680,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1710",NA,3563,NA,4267,"CIP 765984","","",-6.8408,-78.6694,3567,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1711",NA,3564,NA,4268,"CIP 761019","","",-6.5672,-78.6589,2333,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1712",NA,3566,NA,4270,"CIP 761552","","",-6.6322,-78.6422,3377,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1713",NA,3567,NA,4271,"CIP 762609","","",-7.0381,-78.6325,3207,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1714",NA,3574,NA,4278,"CIP 761077","","",-6.7561,-78.6183,3793,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1715",NA,3575,NA,4279,"CIP 765985","","",-6.8002,-78.6163,3640,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1716",NA,3576,NA,4280,"CIP 765978","","",-7.0936,-78.6138,3651,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1717",NA,3577,NA,4281,"CIP 762264","","",-6.765,-78.6092,3705,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1718",NA,3582,NA,4286,"CIP 761544","","",-6.7531,-78.6003,3450,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1719",NA,3584,NA,4288,"CIP 763928","","",-7.0833,-78.5833,NA,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1720",NA,3585,NA,4289,"CIP 761545","","",-6.3897,-78.5717,3300,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1721",NA,3587,NA,4291,"CIP 762576","","",-7.0775,-78.5608,3440,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1722",NA,3590,NA,4294,"CIP 761051","","",-7.1822,-78.5375,3118,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1723",NA,3591,NA,4295,"CIP 765871","","",-6.68,-78.5216,3580,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1724",NA,3592,NA,4296,"CIP 761548","","",-6.8108,-78.5144,3213,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1725",NA,3593,NA,4297,"CIP 762053","","",-7.9447,-78.4642,3400,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1726",NA,3596,NA,4300,"CIP 761551","","",-6.9853,-78.4031,3200,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1727",NA,3597,NA,4301,"CIP 762060","","",-7.0847,-78.3439,3097,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1728",NA,3598,NA,4302,"CIP 762577","","",-6.8953,-78.3161,3630,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1729",NA,3599,NA,4303,"CIP 762569","","",-6.9339,-78.2975,2900,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1730",NA,3600,NA,4304,"CIP 761549","","",-6.9228,-78.2847,3217,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1731",NA,3602,NA,4306,"CIP 762939","","",-8.1419,-78.27,4114,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1732",NA,3603,NA,4307,"CIP 764378","","",-7.986,-78.249,4055,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1733",NA,3604,NA,4308,"CIP 762941","","",-7.9861,-78.2489,4055,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1734",NA,3605,NA,4309,"CIP 762568","","",-6.7758,-78.1183,2320,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1735",NA,3606,NA,4310,"CIP 760911","","",-5.0739,-78.0506,NA,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1736",NA,3607,NA,4311,"CIP 761271","","",-7.8269,-78.0464,3500,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1737",NA,3608,NA,4312,"CIP 761173","","",-6.4986,-77.9572,3200,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1738",NA,3609,NA,4313,"CIP 760057","","",-6.2294,-77.8742,2338,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1739",NA,3610,NA,4314,"CIP 762649","","",-8.1725,-77.8511,3677,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1740",NA,3611,NA,4315,"CIP 761269","","",-6.3553,-77.8239,3000,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1741",NA,3612,NA,4316,"CIP 762946","","",-7.7669,-77.8139,3602,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1742",NA,3613,NA,4317,"CIP 760913","","",-6.7092,-77.8056,2255,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1743",NA,3614,NA,4318,"CIP 765868","","",-6.7363,-77.8036,2827,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1744",NA,3615,NA,4319,"CIP 763035","","",-6.6833,-77.7833,NA,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
