"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1844",NA,3735,NA,4436,"88405","","",14.0529,-91.0148,3220,"clarum","clarum","tuberous","wild",NA,"SŠrkinen","",""
"1845",NA,3736,NA,4437,"88432","","",15.011,-92.004,3260,"clarum","clarum","tuberous","wild",NA,"SŠrkinen","",""
"1846",NA,3737,NA,4438,"89693","","",15.46601,-92.27823,2740,"clarum","clarum","tuberous","wild",NA,"SŠrkinen","",""
"1847",NA,3738,NA,4439,"88637","","",15.04645,-91.57969,3200,"clarum","clarum","tuberous","wild",NA,"SŠrkinen","",""
"1848",NA,3739,NA,4440,"90287","","",14.82315,-91.35471,3000,"clarum","clarum","tuberous","wild",NA,"SŠrkinen","",""
"1849",NA,3740,NA,4441,"88819","","",14.47859,-90.74237,2900,"clarum","clarum","tuberous","wild",NA,"SŠrkinen","",""
"1850",NA,3741,NA,4442,"88775","","",14.87931,-91.24726,3200,"clarum","clarum","tuberous","wild",NA,"SŠrkinen","",""
"1851",NA,3742,NA,4443,"PI 243355","","",14.8825,-91.2568,NA,"clarum","clarum","tuberous","germplasm",24,"SŠrkinen","",""
"1852",NA,3743,NA,4444,"PI 243355","","",14.9,-90.933333,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1853",NA,3744,NA,4445,"PI 275202","","",15.0811,-91.5141,NA,"clarum","clarum","tuberous","germplasm",24,"SŠrkinen","",""
"1854",NA,3745,NA,4446,"PI 275203","","",14.9275,-91.6915,NA,"clarum","clarum","tuberous","germplasm",24,"SŠrkinen","",""
"1855",NA,3746,NA,4447,"PI 283099","","",14.8691,-91.2288,NA,"clarum","clarum","tuberous","germplasm",24,"SŠrkinen","",""
"1856",NA,3747,NA,4448,"PI 558382","","",15.466667,-92.266667,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1857",NA,3748,NA,4449,"PI 604052","","",15.0717,-91.5583,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1858",NA,3749,NA,4450,"PI 604058","","",15.1717,-91.9467,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1859",NA,3750,NA,4451,"PI 604059","","",15.1717,-91.9733,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1860",NA,3751,NA,4452,"PI 604060","","",15.1833,-92.0667,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1861",NA,3752,NA,4453,"PI 604067","","",14.8601,-91.2283,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1862",NA,3753,NA,4454,"PI 604068","","",14.8767,-91.2283,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1863",NA,3754,NA,4455,"PI 604069","","",14.8817,-91.2467,NA,"clarum","clarum","tuberous","germplasm",24,"SŠrkinen","",""
"1864",NA,3755,NA,4456,"PI 604075","","",15.4601,-91.5201,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1865",NA,3756,NA,4457,"PI 604078","","",15.4867,-91.5067,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1866",NA,3757,NA,4458,"PI 604078","","",15.486667,-91.506667,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1867",NA,3758,NA,4459,"PI 604079","","",15.4901,-91.5151,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1868",NA,3759,NA,4460,"PI 604080","","",15.4751,-91.5151,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
"1869",NA,3760,NA,4461,"PI 604081","","",15.5017,-91.4583,NA,"clarum","clarum","tuberous","germplasm",24,"SŠrkinen","",""
"1870",NA,3761,NA,4462,"PI 604083","","",15.8201,-91.5083,NA,"clarum","clarum","tuberous","germplasm",24,"SŠrkinen","",""
"1871",NA,3762,NA,4463,"PI 604086","","",14.9067,-91.2951,NA,"clarum","clarum","tuberous","germplasm",NA,"SŠrkinen","",""
