"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1872",NA,3763,NA,4464,"CIP 763324","","",0.0011,-78.5133,2845,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1873",NA,3764,NA,4465,"CIP 762791","","",-4,-79.2167,2159,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1874",NA,3765,NA,4466,"CIP 762793","","",-3.9928,-79.2019,3235,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1875",NA,3767,NA,4468,"CIP 762792","","",-3.175,-79.1272,3270,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1876",NA,3768,NA,4469,"CIP 761599","","",-0.6592,-79.075,758,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1877",NA,3769,NA,4470,"CIP 762794","","",-2.5417,-78.9817,3410,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1878",NA,3771,NA,4472,"CIP 762813","","",-2.4833,-78.95,3079,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1879",NA,3772,NA,4473,"CIP 762812","","",-2.4322,-78.8881,3500,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1880",NA,3774,NA,4475,"CIP 762815","","",-2.3311,-78.8697,3000,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1881",NA,3775,NA,4476,"CIP 762789","","",-0.25,-78.7211,2118,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1882",NA,3776,NA,4477,"CIP 761068","","",-1.45,-78.4331,3367,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1883",NA,3777,NA,4478,"CIP 762811","","",-1.4214,-78.4228,3200,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1884",NA,3778,NA,4479,"CIP 761601","","",-1.3167,-78.3167,2979,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1885",NA,3779,NA,4480,"CIP 762807","","",-0.3625,-78.155,3720,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1886",NA,3781,NA,4482,"CIP 762785","","",-0.0033,-78.0622,3450,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1887",NA,3782,NA,4483,"CIP 761610","","",1.5547,-77.8642,3200,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1888",NA,3784,NA,4485,"CIP 763890","","",1.2167,-77.2667,2621,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1889",NA,3785,NA,4486,"CIP 762678","","",1.0619,-77.2231,2621,"colombianum","colombianum","tuberous","germplasm",24,"SŠrkinen","",""
"1890",NA,3786,NA,4487,"CIP 763889","","",1.1667,-77.1667,2799,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1891",NA,3787,NA,4488,"CIP 763888","","",1.1833,-76.9167,2086,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1892",NA,3788,NA,4489,"CIP 763903","","",2.385,-76.8558,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1893",NA,3789,NA,4490,"CIP 762638","","",2.45,-76.6,1731,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1894",NA,3790,NA,4491,"CIP 763891","","",3.8692,-76.525,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1895",NA,3792,NA,4493,"CIP 763892","","",4.2544,-75.7294,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1896",NA,3793,NA,4494,"CIP 763911","","",4.5192,-75.7211,1439,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1897",NA,3795,NA,4496,"CIP 761883","","",2.5389,-75.64,2800,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1898",NA,3796,NA,4497,"CIP 763987","","",4.3636,-75.6111,3270,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1899",NA,3797,NA,4498,"CIP 764132","","",4.4731,-74.1161,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1900",NA,3800,NA,4501,"CIP 763947","","",7.9236,-72.0814,2647,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1901",NA,3801,NA,4502,"CIP 761178","","",7.9272,-72.0236,2920,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
