"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2127",NA,4584,NA,5308,"88420","","",14.0548,-91.0191,3180,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2128",NA,4558,NA,5282,"89347","","",14.47563,-90.73304,2250,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2129",NA,4534,NA,5258,"90366","","",15.48678,-91.51723,3595,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2130",NA,4628,NA,5352,"PI 275211","","",15.5405,-91.5001,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2131",NA,4586,NA,5310,"90770","","",16.1,-96.15,3500,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2132",NA,4569,NA,5293,"89328","","",16.9833,-97,2700,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2133",NA,4564,NA,5288,"90192","","",17.2666,-96.4,2950,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2134",NA,4550,NA,5274,"89647","","",17.28,-96.3,2870,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2135",NA,4637,NA,5361,"PI 545763","","",17.466667,-96.5,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2136",NA,4547,NA,5271,"89444","","",18.4,-99.15,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2137",NA,4539,NA,5263,"89306","","",18.58,-97.15,3000,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2138",NA,4527,NA,5251,"CIP 760660","","",18.6333,-98.9333,1212,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2139",NA,4587,NA,5311,"89045","","",18.7401,-97.3813,2550,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2140",NA,4544,NA,5268,"89422","","",19.0166,-97.2666,3600,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2141",NA,4588,NA,5312,"90434","","",19.04,-100.05,1900,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2142",NA,4613,NA,5337,"PI 161366","","",19.05,-99.25,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2143",NA,4560,NA,5284,"89654","","",19.07,-99.49,3430,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2144",NA,4515,NA,5239,"CIP 760664","","",19.1014,-99.7694,4466,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2145",NA,4543,NA,5267,"84133","","",19.1333,-99.1666,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2146",NA,4635,NA,5359,"PI 498233","","",19.133333,-99.733333,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2147",NA,4540,NA,5264,"84028","","",19.143,-99.7879,3340,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2148",NA,4514,NA,5238,"CIP 763780","","",19.15,-99.8,2680,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2149",NA,4612,NA,5336,"PI 161365","","",19.15,-99.183333,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2150",NA,4538,NA,5262,"88855","","",19.165,-98.91,2700,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2151",NA,4536,NA,5260,"8174","","",19.16667,-99.88333,2830,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2152",NA,4535,NA,5259,"82593","","",19.19,-99.0236,2900,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2153",NA,4511,NA,5235,"CIP 761047","","",19.1972,-101.887,2840,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2154",NA,4591,NA,5315,"PI 160212","","",19.2,-99.25,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2155",NA,4567,NA,5291,"89448","","",19.21,-98.4,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2156",NA,4622,NA,5346,"PI 205515","","",19.233333,-98.033333,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2157",NA,4542,NA,5266,"84179","","",19.24,-98.033,3340,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2158",NA,4614,NA,5338,"PI 161693","","",19.25,-99.166667,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2159",NA,4517,NA,5241,"CIP 766050","","",19.28053333,-99.65638333,NA,"demissum","demissum","tuberous","germplasm",NA,"SŠrkinen","",""
"2160",NA,4533,NA,5257,"89662","","",19.29,-97.55,2930,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2161",NA,4524,NA,5248,"CIP 760755","","",19.3,-99.65,2680,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2162",NA,4601,NA,5325,"PI 161154","","",19.3,-99.283333,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2163",NA,4575,NA,5299,"88402","","",19.3084,-99.5802,3050,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2164",NA,4561,NA,5285,"90470","","",19.3166,-97.9333,3340,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2165",NA,4556,NA,5280,"90596","","",19.32,-98.49,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2166",NA,4590,NA,5314,"186550","","",19.32,-97.74,NA,"demissum","demissum","tuberous","germplasm",NA,"SŠrkinen","",""
"2167",NA,4589,NA,5313,"161769","","",19.32076,-97.745986,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2168",NA,4572,NA,5296,"82591","","",19.3265,-98.7253,3450,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2169",NA,4592,NA,5316,"PI 160220","","",19.332778,-99.316944,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2170",NA,4594,NA,5318,"PI 160222","","",19.332778,-99.066944,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2171",NA,4579,NA,5303,"82726","","",19.3333,-99.3166,2469,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2172",NA,4593,NA,5317,"PI 160221","","",19.333333,-99.316667,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2173",NA,4607,NA,5331,"PI 161167","","",19.333333,-98.666667,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2174",NA,4624,NA,5348,"PI 230587","","",19.333333,-99.333333,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2175",NA,4603,NA,5327,"PI 161163","","",19.35,-98.666667,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2176",NA,4541,NA,5265,"88664","","",19.3684,-98.593,2743,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2177",NA,4551,NA,5275,"89451","","",19.41,-100.51,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2178",NA,4568,NA,5292,"90691","","",19.41,-102.3,3100,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2179",NA,4582,NA,5306,"89307","","",19.41,-98.13,2750,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2180",NA,4513,NA,5237,"CIP 761046","","",19.4333,-100.3667,2237,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2181",NA,4548,NA,5272,"88400","","",19.4349,-100.176,2800,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2182",NA,4630,NA,5354,"PI 338619","","",19.45,-100.2,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2183",NA,4583,NA,5307,"89992","","",19.49,-100.4,2280,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2184",NA,4562,NA,5286,"18554","","",19.49193,-97.14809,3506,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2185",NA,4599,NA,5323,"PI 161151","","",19.533333,-98.816667,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2186",NA,4573,NA,5297,"89193","","",19.57,-99.435,3350,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2187",NA,4531,NA,5255,"CIP 763341","","",19.6167,-97.0333,2181,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2188",NA,4577,NA,5301,"161655","","",19.63389,-101.3267,2100,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2189",NA,4615,NA,5339,"PI 161715","","",19.65,-100.8,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2190",NA,4559,NA,5283,"89761","","",19.6547,-100.268,2975,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2191",NA,4610,NA,5334,"PI 161175","","",19.683333,-100.85,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2192",NA,4631,NA,5355,"PI 365380","","",19.683333,-99.716667,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2193",NA,4545,NA,5269,"90393","","",19.70594,-101.195,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2194",NA,4557,NA,5281,"89766","","",19.7207,-100.847,2800,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2195",NA,4578,NA,5302,"89206","","",19.75,-100.66,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2196",NA,4555,NA,5279,"89090","","",19.96,-99.06,3000,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2197",NA,4554,NA,5278,"89022","","",20.08,-98.4,2800,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2198",NA,4566,NA,5290,"88675","","",20.09961,-98.63349,2900,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2199",NA,4528,NA,5252,"CIP 761045","","",20.1333,-98.6667,2793,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2200",NA,4608,NA,5332,"PI 161168","","",20.133333,-98.666667,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2201",NA,4537,NA,5261,"82595","","",20.2171,-98.7509,2750,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2202",NA,4574,NA,5298,"90516","","",20.3,-97.9666,950,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2203",NA,4553,NA,5277,"89690","","",20.36,-99.29,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2204",NA,4549,NA,5273,"89878","","",21.463,-102.3855,2400,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2205",NA,4565,NA,5289,"89805","","",21.9875,-102.496,2850,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2206",NA,4510,NA,5234,"CIP 766054","","",23.17901667,-102.8979167,NA,"demissum","demissum","tuberous","germplasm",NA,"SŠrkinen","",""
"2207",NA,4563,NA,5287,"88908","","",23.58647,-105.8348,1950,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2208",NA,4580,NA,5304,"89723","","",24.02,-104.41,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2209",NA,4636,NA,5360,"PI 498299","","",24.033333,-104.683333,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"2210",NA,4546,NA,5270,"90538","","",24.145,-105.92,2100,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2211",NA,4552,NA,5276,"89724","","",24.15,-104.23,2800,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2212",NA,4585,NA,5309,"89898","","",24.2456,-105.3516,2580,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2213",NA,4570,NA,5294,"90751","","",24.83,-105.33,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"2214",NA,4571,NA,5295,"88763","","",25.28,-105.15,2850,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"4360",8174,10785,NA,NA,NA,"Spooner, DM","0.0.2001",19.166667,-99.883333,2830,"demissum","demissum","tuberous",NA,NA,"Potato","MEX","Mexico"
"4361",18554,10784,NA,NA,NA,"Spooner, DM","0.0.2003",19.49193,-97.148093,3506,"demissum","demissum","tuberous",NA,NA,"Potato","MEX","Mexico"
