"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2215",NA,4639,NA,5363,"CIP 761075","","",-19.0431,-65.2592,2796,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
"2216",NA,4640,NA,5364,"CIP 760253","","",-17.5667,-65.2333,2600,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
"2217",NA,4641,NA,5365,"CIP 760307","","",-17.5669,-65.2331,4029,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
"2218",NA,4642,NA,5366,"CIP 762325","","",-17.845,-64.4289,1600,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
"2219",NA,4643,NA,5367,"77404","","",-18.00697,-65.14799,2530,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"2220",NA,4644,NA,5368,"77405","","",-17.8167,-65.2,2600,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"2221",NA,4645,NA,5369,"80135","","",-19.33898,-64.32983,2124,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"2222",NA,4646,NA,5370,"84336","","",-18.10024,-65.66976,2050,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"2223",NA,4647,NA,5371,"85539","","",-18.14277,-65.22737,2400,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"2224",NA,4648,NA,5372,"85608","","",-18.48005,-64.0777,2100,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"2225",NA,4649,NA,5373,"PI 545854","","",-17.733333,-65.1,NA,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
"2226",NA,4650,NA,5374,"PI 545856","","",-18.166667,-65.166667,NA,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
"2227",NA,4652,NA,5376,"PI 545861","","",-17.983333,-65.116667,NA,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
"2228",NA,4653,NA,5377,"PI 631220","","",-18.142778,-65.2275,NA,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
