"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2229",NA,4654,NA,5378,"CIP 762998","","",-9.6472,-77.8061,3933,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2230",NA,4656,NA,5380,"CIP 763457","","",-9.155,-77.5644,4000,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2231",NA,4662,NA,5386,"CIP 762970","","",-9.1261,-77.5311,4295,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2232",NA,4663,NA,5387,"CIP 763632","","",-9.0489,-77.4886,3676,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2233",NA,4664,NA,5388,"CIP 763618","","",-9.9111,-77.3172,4100,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",NA,"SŠrkinen","",""
"2234",NA,4665,NA,5389,"CIP 762972","","",-9.6989,-77.2761,4491,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2235",NA,4666,NA,5390,"CIP 763633","","",-9.6981,-77.2611,4410,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2236",NA,4667,NA,5391,"CIP 762973","","",-9.6911,-77.245,4414,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2237",NA,4668,NA,5392,"CIP 765954","","",-9.6833,-77.2333,4182,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",NA,"SŠrkinen","",""
"2238",NA,4670,NA,5394,"CIP 761436","","",-9.6556,-77.2119,4400,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2239",NA,4671,NA,5395,"CIP 762533","","",-9.5883,-77.1772,3138,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",NA,"SŠrkinen","",""
"2240",NA,4672,NA,5396,"CIP 761470","","",-9.5244,-77.1569,3049,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2241",NA,4674,NA,5398,"CIP 761043","","",-9.4564,-77.0772,4140,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2242",NA,4676,NA,5400,"CIP 761439","","",-9.1,-77.0158,3257,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2243",NA,4677,NA,5401,"CIP 763020","","",-9.5367,-76.8231,2850,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2244",NA,4678,NA,5402,"82005","","",-9.25,-76.5,3650,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2245",NA,4679,NA,5403,"71007","","",-9.214887,-77.20032,3900,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2246",NA,4680,NA,5404,"70994","","",-9.726817,-77.32696,4100,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2247",NA,4681,NA,5405,"74814","","",-9.508615,-77.12319,3900,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2248",NA,4682,NA,5406,"70998","","",-9,-77.11,4100,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2249",NA,4683,NA,5407,"92938","","",-9.233333,-77.66667,4000,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2250",NA,4684,NA,5408,"91885","","",-9.5,-75.83333,3650,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2251",NA,4685,NA,5409,"70999","","",-9.129625,-77.53245,4100,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2252",NA,4686,NA,5410,"71261","","",-8.3417,-77.43049,3955,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2253",NA,4687,NA,5411,"70995","","",-9.524874,-76.76041,3700,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2254",NA,4688,NA,5412,"92965","","",-9.133333,-77.01667,3400,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2255",NA,4689,NA,5413,"95130","","",-7.966667,-78.2,3500,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2256",NA,4690,NA,5414,"75419","","",-10.17711,-77.46227,4250,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2257",NA,4691,NA,5415,"75456","","",-9.735001,-77.48743,4100,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2258",NA,4692,NA,5416,"70996","","",-9.689813,-77.23598,4250,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2259",NA,4693,NA,5417,"81737","","",-8.95,-77.8333,4100,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"2260",NA,4694,NA,5418,"PI 498235","","",-7.466667,-76.616667,NA,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"2261",NA,4695,NA,5419,"PI 498236","","",-9.083333,-77.016667,NA,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
