"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"4400",106810,10940,NA,NA,NA,"Tepe, EJ","0.0.2009",4.776111,-75.51194,1970,"evolvulifolium","evolvulifolium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4401",125993,10941,NA,NA,NA,NA,"0.0.0",3.970322,-75.6474,2900,"evolvulifolium","evolvulifolium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4402",126000,10942,NA,NA,NA,NA,"0.0.0",1.216774,-76.97008,2400,"evolvulifolium","evolvulifolium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4403",162576,10943,NA,NA,NA,"Knapp, S; Barboza, GE","0.3.2020",1.880472,-75.682,2385,"evolvulifolium","evolvulifolium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4404",34763,10944,NA,NA,NA,"Knapp, S","0.12.2008",6.533333,-76.316667,1450,"evolvulifolium","evolvulifolium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4405",53319,10945,NA,NA,NA,"Tepe, EJ","0.6.2009",1.3,-78.1,900,"evolvulifolium","evolvulifolium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4406",53328,10946,NA,NA,NA,"Tepe, EJ","2.8.2009",1.08,-77.58,1750,"evolvulifolium","evolvulifolium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4407",53332,10947,NA,NA,NA,"Tepe, EJ","0.6.2009",1.476133,-77.534661,1750,"evolvulifolium","evolvulifolium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4408",53728,10948,NA,NA,NA,"Tepe, EJ","0.12.2009",4.53,-76.07,2000,"evolvulifolium","evolvulifolium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"4409",53731,10949,NA,NA,NA,"Tepe, EJ","0.12.2009",5.0842,-76.0046,2285,"evolvulifolium","evolvulifolium","nongeophyte",NA,NA,"Potato","COL","Colombia"
