"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2312",NA,4753,NA,5494,"CIP 761877","","",4.7647,-74.1258,3450,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"2313",NA,4755,NA,5496,"CIP 763894","","",4.4731,-74.1161,2887,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"2314",NA,4757,NA,5498,"CIP 763900","","",5.7594,-73.1217,NA,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"2315",NA,4759,NA,5500,"CIP 764058","","",7.3353,-72.9328,NA,"flahaultii","flahaultii","tuberous","germplasm",24,"SŠrkinen","",""
"2316",NA,4760,NA,5501,"CIP 763902","","",5.9833,-72.7167,2565,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"2317",NA,4761,NA,5502,"CIP 763896","","",6.4194,-72.3489,NA,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"2318",NA,4762,NA,5503,"93903","","",4.616667,-73.8,3210,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2319",NA,4763,NA,5504,"95346","","",4.583333,-73.9,3200,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2320",NA,4764,NA,5505,"95087","","",7.266667,-72.9,3600,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2321",NA,4765,NA,5506,"93902","","",4.05,-74.15,3420,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2322",NA,4766,NA,5507,"91729","","",5.016667,-74,0,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2323",NA,4767,NA,5508,"91728","","",4.466667,-74.1,0,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2324",NA,4768,NA,5509,"92547","","",6.866667,-72.63333,3500,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2325",NA,4769,NA,5510,"92318","","",6.166667,-72.8,3200,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2326",NA,4770,NA,5511,"94426","","",4.333333,-74.2,4310,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2327",NA,4771,NA,5512,"94431","","",6,-72.51667,3540,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2328",NA,4772,NA,5513,"94365","","",2.483333,-76.31667,3250,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2329",NA,4773,NA,5514,"94484","","",5.616667,-72.76667,3450,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2330",NA,4774,NA,5515,"84318","","",2.56667,-76.1833,2500,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"2331",NA,4775,NA,5516,"570621","","",5.83475,-73.328694,NA,"flahaultii","flahaultii","tuberous","germplasm",NA,"SŠrkinen","",""
"2332",NA,4776,NA,5517,"583316","","",6.440972,-72.382498,NA,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"2333",NA,4777,NA,5518,"597672","","",5.0533,-74.0346,NA,"flahaultii","flahaultii","tuberous","germplasm",24,"SŠrkinen","",""
"2334",NA,4780,NA,5521,"PI 498166","","",5.033333,-74,NA,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"2335",NA,4781,NA,5522,"PI 498167","","",4.466667,-74.133333,NA,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
