"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2336",NA,4782,NA,5523,"CIP 761391","","",-17.925,-65.4689,2759,"gandarillasii","gandarillasii","tuberous","germplasm",48,"SŠrkinen","",""
"2337",NA,4783,NA,5524,"CIP 762331","","",-18.4897,-64.1069,2017,"gandarillasii","gandarillasii","tuberous","germplasm",24,"SŠrkinen","",""
"2338",NA,4784,NA,5525,"81459","","",-18.1139,-64.2156,1450,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"2339",NA,4785,NA,5526,"77779","","",-18.35,-65.2,2200,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"2340",NA,4786,NA,5527,"80229","","",-18.9191,-65.1145,2031,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"2341",NA,4787,NA,5528,"77782","","",-17.9,-65.1833,1850,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"2342",NA,4788,NA,5529,"82426","","",-18.3,-64.15,1900,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"2343",NA,4789,NA,5530,"77781","","",-18.8,-65.3833,2050,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"2344",NA,4790,NA,5531,"81767","","",-17.9333,-65.3167,2200,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"2345",NA,4791,NA,5532,"568982","","",-17.954821,-65.410847,NA,"gandarillasii","gandarillasii","tuberous","germplasm",NA,"SŠrkinen","",""
"2346",NA,4792,NA,5533,"PI 265866","","",-18.333333,-65.166667,NA,"gandarillasii","gandarillasii","tuberous","germplasm",24,"SŠrkinen","",""
"2347",NA,4793,NA,5534,"PI 283076","","",-18.666667,-65.166667,NA,"gandarillasii","gandarillasii","tuberous","germplasm",24,"SŠrkinen","",""
"2348",NA,4794,NA,5535,"PI 545862","","",-17.716667,-65.2,NA,"gandarillasii","gandarillasii","tuberous","germplasm",24,"SŠrkinen","",""
