"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"4444",1643,11039,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-4.042545,-79.64195,900,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4445",2006,11040,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-4.158717,-79.553752,2250,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4446",2010,11041,NA,NA,NA,"Knapp, S","0.0.2006",-2.200977,-78.840782,2300,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4447",2251,11042,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-1.400069,-78.42663,1829,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4448",2273,11043,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-2.023038,-78.73833,2500,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4449",2376,11044,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-2.283372,-78.97659,1219,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4450",2525,11046,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-2.120586,-78.504469,2500,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4451",2529,11047,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-4.101283,-79.389905,2250,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4452",3189,11048,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-2.152701,-79.984991,400,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4453",3255,11049,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-3.55,-79.233333,2100,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4454",4688,11050,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-2.121435,-79.53551,0,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4455",4926,11051,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-3.95,-79.3,2000,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4456",5977,11052,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-2.166667,-79.833333,100,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4457",6137,11053,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-4.020894,-80.022335,1450,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4458",6380,11054,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-1.547773,-80.702419,100,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4459",76520,11055,NA,NA,NA,"Knapp, S","0.11.2015",-1.748056,-79.14667,1400,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4460",1712,11056,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.958137,-79.10906,700,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","PER","Peru"
"4461",1958,11057,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-4.226437,-80.826513,450,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","PER","Peru"
"4462",2196,11058,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.807297,-78.042628,2591,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","PER","Peru"
"4463",2201,11059,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.157225,-78.506305,0,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","PER","Peru"
"4464",2220,11060,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.468197,-76.620637,2439,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","PER","Peru"
"4465",2400,11061,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-8.570663,-77.906208,0,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","PER","Peru"
"4466",2404,11062,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-12.751288,-75.808608,2800,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","PER","Peru"
"4467",2405,11063,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-12.13654,-76.223213,3100,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","PER","Peru"
"4468",2425,11064,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-9.092333,-77.724667,3300,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","PER","Peru"
"4469",2432,11065,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.853667,-76.4025,2200,"habrochaites","habrochaites","nongeophyte",NA,NA,"Potato","PER","Peru"
