"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2352",NA,4799,NA,5576,"CIP 764288","","",25.415,-101.0022,NA,"hjertingii","hjertingii","tuberous","germplasm",24,"SŠrkinen","",""
"2353",NA,4801,NA,5578,"CIP 764289","","",25.3667,-100.6333,NA,"hjertingii","hjertingii","tuberous","germplasm",48,"SŠrkinen","",""
"2354",NA,4803,NA,5580,"91207","","",24.5714,-100.724,1725,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2355",NA,4804,NA,5581,"88615","","",25.51,-100.466,2450,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2356",NA,4806,NA,5583,"88860","","",24.8666,-100.217,2400,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2357",NA,4807,NA,5584,"88754","","",25.22,-100.38,2340,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2358",NA,4808,NA,5585,"91205","","",23.9666,-99.7666,1930,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2359",NA,4809,NA,5586,"91515","","",25.36,-100.63,2300,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2360",NA,4810,NA,5587,"89497","","",25.1676,-100.087,0,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2361",NA,4812,NA,5589,"89303","","",23.0778,-99.2789,1433,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2362",NA,4813,NA,5590,"88745","","",25.25,-101,2000,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2363",NA,4814,NA,5591,"88387","","",25.42,-100.83,0,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2364",NA,4815,NA,5592,"88692","","",24.52,-100.13,2500,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2365",NA,4816,NA,5593,"90308","","",27.0133,-102.234,2200,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2366",NA,4817,NA,5594,"89945","","",24.3414,-100.0038,2120,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2367",NA,4818,NA,5595,"90284","","",25.08,-101.36,2300,"hjertingii","hjertingii","tuberous","wild",NA,"SŠrkinen","",""
"2368",NA,4819,NA,5596,"PI 251067","","",24.866667,-100.216667,NA,"hjertingii","hjertingii","tuberous","germplasm",48,"SŠrkinen","",""
