"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2390",NA,4845,NA,5622,"CIP 761239","","",-5.5994,-79.5864,2139,"huancabambense","huancabambense","tuberous","germplasm",24,"SŠrkinen","",""
"2391",NA,4846,NA,5623,"CIP 764023","","",-5.8208,-79.5161,2407,"huancabambense","huancabambense","tuberous","germplasm",24,"SŠrkinen","",""
"2392",NA,4847,NA,5624,"CIP 760955","","",-5.1964,-79.4972,2500,"huancabambense","huancabambense","tuberous","germplasm",24,"SŠrkinen","",""
"2393",NA,4849,NA,5626,"CIP 761240","","",-5.2942,-79.4836,2900,"huancabambense","huancabambense","tuberous","germplasm",24,"SŠrkinen","",""
"2394",NA,4850,NA,5627,"CIP 761238","","",-5.3036,-79.4036,2191,"huancabambense","huancabambense","tuberous","germplasm",24,"SŠrkinen","",""
"2395",NA,4851,NA,5628,"82409","","",-5,-79.6833,2000,"huancabambense","huancabambense","tuberous","wild",NA,"SŠrkinen","",""
"2396",NA,4852,NA,5629,"81408","","",-5.833333,-79.5,1650,"huancabambense","huancabambense","tuberous","wild",NA,"SŠrkinen","",""
"2397",NA,4853,NA,5630,"82509","","",-5.5,-79.5833,2350,"huancabambense","huancabambense","tuberous","wild",NA,"SŠrkinen","",""
"2398",NA,4854,NA,5631,"94505","","",-5.666667,-79.3,2800,"huancabambense","huancabambense","tuberous","wild",NA,"SŠrkinen","",""
"2399",NA,4855,NA,5632,"92284","","",-5.23,-79.47,1800,"huancabambense","huancabambense","tuberous","wild",NA,"SŠrkinen","",""
"2400",NA,4857,NA,5634,"PI 365406","","",-5.233333,-79.466667,NA,"huancabambense","huancabambense","tuberous","germplasm",24,"SŠrkinen","",""
"2401",NA,4858,NA,5635,"PI 458400","","",-5.4,-79.6,NA,"huancabambense","huancabambense","tuberous","germplasm",24,"SŠrkinen","",""
