"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1077",NA,4909,NA,5700,"CIP 763694","","",-24.8433,-66.1833,2841,"infundibuliforme","infundibuliforme","tuberous","germplasm",24,"SŠrkinen","",""
"1078",NA,4910,NA,5701,"CIP 761004","","",-21.6667,-65.9667,3234,"infundibuliforme","infundibuliforme","tuberous","germplasm",24,"SŠrkinen","",""
"1079",NA,4911,NA,5702,"CIP 761374","","",-21.3703,-65.9439,3450,"infundibuliforme","infundibuliforme","tuberous","germplasm",24,"SŠrkinen","",""
"1080",NA,4912,NA,5703,"CIP 763721","","",-23.3186,-65.7619,3450,"infundibuliforme","infundibuliforme","tuberous","germplasm",24,"SŠrkinen","",""
"1081",NA,4914,NA,5705,"CIP 761002","","",-19.8667,-65.7167,3960,"infundibuliforme","infundibuliforme","tuberous","germplasm",24,"SŠrkinen","",""
"1082",NA,4915,NA,5706,"CIP 761003","","",-21.45,-65.7167,2941,"infundibuliforme","infundibuliforme","tuberous","germplasm",24,"SŠrkinen","",""
"1083",NA,4916,NA,5707,"CIP 761359","","",-19.6333,-65.2167,2580,"infundibuliforme","infundibuliforme","tuberous","germplasm",24,"SŠrkinen","",""
"1084",NA,4917,NA,5708,"80473","","",-22.25,-64.9666,3450,"infundibuliforme","infundibuliforme","tuberous","wild",NA,"SŠrkinen","",""
"1085",NA,4918,NA,5709,"80161","","",-21.3962,-65.6946,3236,"infundibuliforme","infundibuliforme","tuberous","wild",NA,"SŠrkinen","",""
"1086",NA,4919,NA,5710,"87487","","",-23.56,-66.21,3700,"infundibuliforme","infundibuliforme","tuberous","wild",NA,"SŠrkinen","",""
"1087",NA,4920,NA,5711,"86311","","",-22.45,-66.0666,3900,"infundibuliforme","infundibuliforme","tuberous","wild",NA,"SŠrkinen","",""
