"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2473",NA,5343,NA,6135,"CIP 764232","","",-27.4333,-66.95,NA,"kurtzianum","kurtzianum","tuberous","germplasm",24,"SŠrkinen","",""
"2474",NA,5344,NA,6136,"CIP 764233","","",-27.7833,-66.7667,NA,"kurtzianum","kurtzianum","tuberous","germplasm",24,"SŠrkinen","",""
"2475",NA,5345,NA,6137,"CIP 764234","","",-27.3503,-66.3722,NA,"kurtzianum","kurtzianum","tuberous","germplasm",24,"SŠrkinen","",""
"2476",NA,5346,NA,6138,"80976","","",-27.9166,-66.0666,2500,"kurtzianum","kurtzianum","tuberous","wild",NA,"SŠrkinen","",""
"2477",NA,5347,NA,6139,"79732","","",-35,-68.8333,710,"kurtzianum","kurtzianum","tuberous","wild",NA,"SŠrkinen","",""
"2478",NA,5348,NA,6140,"78803","","",-28.1666,-67.3833,1800,"kurtzianum","kurtzianum","tuberous","wild",NA,"SŠrkinen","",""
"2479",NA,5349,NA,6141,"86911","","",-27.82,-67.17,1200,"kurtzianum","kurtzianum","tuberous","wild",NA,"SŠrkinen","",""
"2480",NA,5350,NA,6142,"78834","","",-27.7666,-66.75,1100,"kurtzianum","kurtzianum","tuberous","wild",NA,"SŠrkinen","",""
"2481",NA,5351,NA,6143,"86865","","",-29.4166,-67.8333,1600,"kurtzianum","kurtzianum","tuberous","wild",NA,"SŠrkinen","",""
"2482",NA,5352,NA,6144,"78829","","",-27.55,-66.5166,1000,"kurtzianum","kurtzianum","tuberous","wild",NA,"SŠrkinen","",""
"2483",NA,5353,NA,6145,"84755","","",-28.15,-65.4833,0,"kurtzianum","kurtzianum","tuberous","wild",NA,"SŠrkinen","",""
"2484",NA,5354,NA,6146,"81335","","",-30.07,-68.52,2100,"kurtzianum","kurtzianum","tuberous","wild",NA,"SŠrkinen","",""
