"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2619",NA,5497,NA,6289,"CIP 761236","","",-13.1761,-72.5511,2123,"lignicaule","lignicaule","tuberous","germplasm",24,"SŠrkinen","",""
"2620",NA,5498,NA,6290,"CIP 764273","","",-13.3128,-72.1103,NA,"lignicaule","lignicaule","tuberous","germplasm",24,"SŠrkinen","",""
"2621",NA,5499,NA,6291,"CIP 761652","","",-13.6786,-71.9386,3177,"lignicaule","lignicaule","tuberous","germplasm",24,"SŠrkinen","",""
"2622",NA,5500,NA,6292,"CIP 760353","","",-13.4208,-71.8511,2966,"lignicaule","lignicaule","tuberous","germplasm",24,"SŠrkinen","",""
"2623",NA,5501,NA,6293,"CIP 762830","","",-13.4081,-71.8461,3580,"lignicaule","lignicaule","tuberous","germplasm",24,"SŠrkinen","",""
"2624",NA,5502,NA,6294,"CIP 762842","","",-13.8244,-71.8281,2873,"lignicaule","lignicaule","tuberous","germplasm",24,"SŠrkinen","",""
"2625",NA,5503,NA,6295,"CIP 761210","","",-13.415,-71.8178,3390,"lignicaule","lignicaule","tuberous","germplasm",24,"SŠrkinen","",""
"2626",NA,5505,NA,6297,"CIP 766001","","",-13.894,-71.8123,NA,"lignicaule","lignicaule","tuberous","germplasm",NA,"SŠrkinen","",""
"2627",NA,5506,NA,6298,"92267","","",-13.51833,-71.97806,0,"lignicaule","lignicaule","tuberous","wild",NA,"SŠrkinen","",""
"2628",NA,5507,NA,6299,"77864","","",-13.3143,-72.1202,3200,"lignicaule","lignicaule","tuberous","wild",NA,"SŠrkinen","",""
"2629",NA,5508,NA,6300,"91534","","",-13.85,-71.8,2800,"lignicaule","lignicaule","tuberous","wild",NA,"SŠrkinen","",""
"2630",NA,5509,NA,6301,"82566","","",-13,-72.1667,3260,"lignicaule","lignicaule","tuberous","wild",NA,"SŠrkinen","",""
"2631",NA,5510,NA,6302,"70849","","",-13.41683,-71.85358,3100,"lignicaule","lignicaule","tuberous","wild",NA,"SŠrkinen","",""
"2632",NA,5511,NA,6303,"PI 275273","","",-13.433333,-71.85,NA,"lignicaule","lignicaule","tuberous","germplasm",24,"SŠrkinen","",""
"2633",NA,5512,NA,6304,"PI 310993","","",-13.5,-71.666667,NA,"lignicaule","lignicaule","tuberous","germplasm",24,"SŠrkinen","",""
"2634",NA,5514,NA,6306,"PI 498253","","",-13.333333,-71.95,NA,"lignicaule","lignicaule","tuberous","germplasm",24,"SŠrkinen","",""
