"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"928",NA,5732,NA,6539,"CIP 761503","","",-10.4617,-76.945,3800,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"929",NA,5735,NA,6542,"CIP 761531","","",-11.3553,-76.8242,1972,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"930",NA,5736,NA,6543,"CIP 762089","","",-10.8375,-76.7981,3000,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"931",NA,5740,NA,6547,"CIP 762897","","",-11.26,-76.7369,2192,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"932",NA,5755,NA,6562,"CIP 762879","","",-11.4969,-76.6511,2381,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"933",NA,5756,NA,6563,"CIP 763065","","",-11.4167,-76.6333,2833,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"934",NA,5757,NA,6564,"CIP 763018","","",-11.7861,-76.6267,2700,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"935",NA,5758,NA,6565,"CIP 763021","","",-11.4522,-76.625,2737,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"936",NA,5759,NA,6566,"CIP 763019","","",-11.4669,-76.6239,2833,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"937",NA,5760,NA,6567,"CIP 761198","","",-11.4525,-76.6192,2737,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"939",NA,5762,NA,6569,"CIP 761567","","",-11.7347,-76.61,2269,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"940",NA,5770,NA,6577,"CIP 761022","","",-11.7578,-76.5961,3013,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"941",NA,5772,NA,6579,"CIP 762218","","",-11.9781,-76.5286,3000,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"942",NA,5774,NA,6581,"CIP 761414","","",-11.8844,-76.44,2136,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"943",NA,5775,NA,6582,"CIP 761029","","",-11.9397,-76.4256,3276,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"944",NA,5779,NA,6586,"CIP 761561","","",-11.8161,-76.3792,2743,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"945",NA,5782,NA,6589,"CIP 762929","","",-11.8131,-76.3539,2613,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"946",NA,5786,NA,6593,"CIP 763496","","",-12.1033,-75.9014,4421,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"947",NA,5787,NA,6594,"CIP 762920","","",-12.8211,-75.81,2441,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"948",NA,5788,NA,6595,"CIP 762919","","",-12.8211,-75.7961,2240,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"949",NA,5789,NA,6596,"CIP 762921","","",-12.8669,-75.7669,4398,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"950",NA,5790,NA,6597,"CIP 762922","","",-12.8331,-75.75,2722,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"951",NA,5791,NA,6598,"CIP 761181","","",-16.9286,-71.5997,900,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"952",NA,5798,NA,6605,"CIP 762988","","",-16.0842,-71.8036,3251,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"953",NA,5799,NA,6606,"CIP 762872","","",-16.2806,-71.5169,3215,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"954",NA,5800,NA,6607,"CIP 762870","","",-16.3967,-71.4353,2877,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"955",NA,5804,NA,6611,"CIP 761233","","",-17.0017,-70.8178,3189,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"956",NA,5805,NA,6612,"CIP 762866","","",-16.8653,-70.6706,3876,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"957",NA,5806,NA,6613,"CIP 761231","","",-17.3017,-70.6403,2647,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"958",NA,5856,NA,6663,"PI 210045","","",-11.416667,-76.633333,NA,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"959",NA,5864,NA,6671,"PI 458402","","",-11.366667,-77.016667,NA,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"960",NA,5866,NA,6673,"PI 473496","","",-11.566667,-76.616667,NA,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"961",NA,5869,NA,6676,"PI265872(PTIS)","","",-11.467222,-76.624167,NA,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"962",NA,5870,NA,6677,"PI283081(PTIS)","","",-11.42,-76.63,NA,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"963",NA,5871,NA,6678,"PI310994(PTIS)","","",-11.49,-76.62,NA,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
