"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"964",NA,5891,NA,6700,"CIP 763081","","",-17.65,-65.4,3087,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"965",NA,5892,NA,6701,"CIP 761398","","",-17.5333,-65.2333,3571,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"966",NA,5893,NA,6702,"CIP 760530","","",-21.5167,-64.75,1917,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"967",NA,5896,NA,6705,"CIP 760466","","",-19.9561,-64.4769,2077,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"968",NA,5897,NA,6706,"CIP 760467","","",-19.1167,-64.3333,2175,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"969",NA,5898,NA,6707,"CIP 760430","","",-18.4897,-64.1069,2017,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"970",NA,5899,NA,6708,"CIP 761065","","",-18.6764,-63.9997,2500,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"971",NA,5903,NA,6712,"CIP 762315","","",-18.7333,-63.9,455,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"972",NA,6013,NA,6822,"473166","","",-22.276703,-64.974745,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"973",NA,6014,NA,6823,"473169","","",-22.233334,-65.033337,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"974",NA,6015,NA,6824,"473180","","",-22.308332,-65.016666,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"975",NA,6016,NA,6825,"473312","","",-22.716666,-65.225043,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"976",NA,6017,NA,6826,"473363","","",-16.87053,-64.884781,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"977",NA,6018,NA,6827,"500040","","",-23.904671,-65.711975,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"978",NA,6022,NA,6831,"595508","","",-24.179688,-65.727394,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"979",NA,6023,NA,6832,"PI 218224","","",-26.216667,-65.283333,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
"980",NA,6025,NA,6834,"PI 265881","","",-24.116667,-65.383333,NA,"microdontum_24","microdontum","tuberous","germplasm",24,"SŠrkinen","",""
