"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"921",NA,4865,NA,5675,"CIP 762059","","",-8.0328,-78.6358,2100,"immite_24","immite","tuberous","germplasm",24,"SŠrkinen","",""
"922",NA,4867,NA,5676,"CIP 762934","","",-7.94,-78.6,2874,"immite_24","immite","tuberous","germplasm",24,"SŠrkinen","",""
"923",NA,4871,NA,5678,"CIP 761040","","",-9.4903,-77.8597,2327,"immite_24","immite","tuberous","germplasm",24,"SŠrkinen","",""
"924",NA,4873,NA,5679,"CIP 764063","","",-11.7861,-76.6267,NA,"immite_24","immite","tuberous","germplasm",24,"SŠrkinen","",""
"925",NA,4907,NA,5696,"PI 498245","","",-8.116667,-79.033333,NA,"immite_24","immite","tuberous","germplasm",24,"SŠrkinen","",""
"4651",105687,11954,NA,NA,NA,"Nee, M","0.0.2004",-14.2755,-68.3256,938,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4652",105801,11955,NA,NA,NA,"Nee, M","0.0.0",-11.02,-66.07,220,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4653",105839,11956,NA,NA,NA,"Nee, M","0.0.1989",-17.44,-63.4,700,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4654",106947,11957,NA,NA,NA,"Nee, M","0.0.2000",-17.27,-64.09,375,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4655",107217,11958,NA,NA,NA,"Nee, M","0.0.2013",-14.0913,-68.4348,1150,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4656",107245,11959,NA,NA,NA,"Nee, M","0.0.1990",-14.5,-67.05,220,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4657",107257,11960,NA,NA,NA,"Nee, M","0.0.1990",-17,-64.46,235,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4658",107275,11961,NA,NA,NA,"Nee, M","0.0.2005",-14.3652,-67.3911,220,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4659",108072,11962,NA,NA,NA,"Nee, M","0.0.1989",-10.47,-65.58,110,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4660",108607,11964,NA,NA,NA,"Nee, M","0.0.1995",-11.6,-68.25,150,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4661",108831,11965,NA,NA,NA,NA,"0.0.0",-11.3,-67.34,140,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4662",108880,11966,NA,NA,NA,"Nee, M","0.0.1992",-17.78333,-63.2,0,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4663",108944,11967,NA,NA,NA,"Nee, M","0.0.1989",-17.45,-63.67,370,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4664",108945,11968,NA,NA,NA,"Nee, M","0.0.1990",-17.24,-63.5,290,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4665",108946,11969,NA,NA,NA,"Nee, M","0.0.1992",-17.16,-64.2,240,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4666",108976,11970,NA,NA,NA,"Nee, M","0.0.1990",-16.57,-65.25,0,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4667",108999,11971,NA,NA,NA,"Nee, M","0.0.1991",-18.08,-63.41,1000,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4668",15523,11972,NA,NA,NA,"Knapp, S","0.0.2006",-14.614444,-67.653056,220,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4669",162899,11973,NA,NA,NA,"Knapp, S; Barboza, GE","0.3.2020",-16.27275,-67.57105,1100,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4670",162900,11974,NA,NA,NA,"Knapp, S; Barboza, GE","0.3.2020",-17,-64.76666,320,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"4671",97669,11975,NA,NA,NA,"Bohs, L","0.0.1998",-17.08333,-65.66666,670,"mite","mite","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
