"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2697",NA,6135,NA,6951,"CIP 761929","","",19.3408,-99.6272,2400,"morelliforme","morelliforme","tuberous","germplasm",24,"SŠrkinen","",""
"2698",NA,6136,NA,6952,"CIP 764252","","",19.6169,-97.0581,NA,"morelliforme","morelliforme","tuberous","germplasm",24,"SŠrkinen","",""
"2699",NA,6137,NA,6953,"CIP 764293","","",16.5,-92.3167,NA,"morelliforme","morelliforme","tuberous","germplasm",24,"SŠrkinen","",""
"2700",NA,6138,NA,6954,"CIP 764271","","",15.1333,-92.1167,NA,"morelliforme","morelliforme","tuberous","germplasm",24,"SŠrkinen","",""
"2701",NA,6139,NA,6955,"88891","","",19.6166,-97.0333,2200,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2702",NA,6140,NA,6956,"89498","","",19.05,-100.05,0,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2703",NA,6141,NA,6957,"90825","","",19.01,-98.02,2500,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2704",NA,6142,NA,6958,"88427","","",15.008,-92.007,2900,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2705",NA,6143,NA,6959,"90022","","",19.23,-100.18,2350,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2706",NA,6144,NA,6960,"88872","","",19.09,-99.56,2400,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2707",NA,6145,NA,6961,"90903","","",20.4,-100.14,2640,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2708",NA,6146,NA,6962,"90482","","",19.58,-98.93,1900,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2709",NA,6147,NA,6963,"90655","","",16.565,-92.49,2135,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2710",NA,6148,NA,6964,"90814","","",17.33,-99.3,2200,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2711",NA,6149,NA,6965,"88409","","",14.0556,-91.0203,2810,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2712",NA,6150,NA,6966,"88716","","",19.2657,-103.57,2280,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2713",NA,6151,NA,6967,"90255","","",19.4,-98.35,2150,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2714",NA,6152,NA,6968,"89800","","",21.2166,-99.1,1870,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2715",NA,6153,NA,6969,"89956","","",16.45,-92.35,2300,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2716",NA,6154,NA,6970,"89791","","",20.3753,-98.375,0,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2717",NA,6155,NA,6971,"90492","","",19.6882,-97.1266,2270,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
"2718",NA,6156,NA,6972,"90304","","",19.566,-97.233,2100,"morelliforme","morelliforme","tuberous","wild",NA,"SŠrkinen","",""
