"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"5352",96930,17341,NA,NA,NA,"Särkinen, T","0.4.2020",-24.92625,-70.48702,0,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5353",1249,17342,NA,NA,NA,"Bennett, JR","0.4.2006",-12.952167,-76.438167,320,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5354",1284,17343,NA,NA,NA,"Bennett, JR","0.4.2006",-15.766667,-74.2,200,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5355",1285,17344,NA,NA,NA,"Bennett, JR","0.4.2006",-11.766667,-77.166667,0,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5356",1287,17345,NA,NA,NA,"Bennett, JR","0.4.2006",-11.333333,-77.5,300,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5357",1288,17346,NA,NA,NA,NA,"0.0.0",-16.983333,-71.8,900,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5358",1289,17347,NA,NA,NA,"Bennett, JR","0.10.2005",-7.983333,-79.1,550,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5359",1292,17348,NA,NA,NA,NA,"0.0.0",-17.721769,-70.817981,850,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5360",1293,17349,NA,NA,NA,"Ugent, D","0.0.1967",-17.016667,-71.916667,175,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5361",1297,17350,NA,NA,NA,"Bennett, JR","0.4.2006",-9.55,-78.333333,450,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5362",1311,17351,NA,NA,NA,NA,"0.0.0",-18.05,-70.283333,650,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5363",1313,17352,NA,NA,NA,"Bennett, JR","0.4.2006",-12.02039,-76.886286,100,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5364",1314,17353,NA,NA,NA,"Bennett, JR","0.4.2006",-12.383333,-76.783333,121,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5365",1322,17354,NA,NA,NA,"Bennett, JR","0.4.2006",-11.55,-77.266667,160,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5366",1330,17355,NA,NA,NA,NA,"0.0.0",-10.333333,-77.916667,330,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5367",1345,17356,NA,NA,NA,"Bennett, JR","0.10.2005",-17.016667,-71.7,700,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5368",1346,17357,NA,NA,NA,"Nee, M","0.0.2000",-15.75,-74.333333,500,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5369",1356,17358,NA,NA,NA,"Bennett, JR","0.4.2006",-12.166667,-77.033333,200,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5370",1357,17359,NA,NA,NA,"Bennett, JR","0.4.2006",-10.2,-78.05,0,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5371",9962,17360,NA,NA,NA,"Bennett, JR","0.10.2005",-16.2,-73.616667,150,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5372",10140,17361,NA,NA,NA,NA,"0.0.0",-9.847379,-78.180058,330,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5373",10141,17362,NA,NA,NA,"Bennett, JR","0.10.2005",-11.35,-77.383333,150,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5374",10142,17363,NA,NA,NA,"Bennett, JR","0.10.2005",-17.994966,-70.880415,10,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5375",10149,17364,NA,NA,NA,"Bennett, JR","0.10.2005",-10.7,-77.783333,250,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5376",10150,17365,NA,NA,NA,"Bennett, JR","0.10.2005",-11.366667,-76.75,0,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5377",10154,17366,NA,NA,NA,"Bennett, JR","0.10.2005",-10.2,-77.55,360,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5378",10155,17367,NA,NA,NA,NA,"0.0.0",-17.786184,-70.484614,530,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5379",10156,17368,NA,NA,NA,"Bennett, JR","0.10.2005",-17.383333,-70.483333,1000,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5380",10158,17369,NA,NA,NA,NA,"0.0.0",-16.25,-73.416667,110,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5381",10162,17370,NA,NA,NA,"Bennett, JR","0.10.2005",-15.2,-75.1,740,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5382",10163,17371,NA,NA,NA,"Bennett, JR","0.10.2005",-17.583333,-70.283333,500,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5383",10179,17372,NA,NA,NA,"Bennett, JR","0.10.2005",-6.76,-79.74,400,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5384",10180,17373,NA,NA,NA,"Bennett, JR","0.10.2005",-15.450811,-74.8694,300,"multifidum","multifidum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
