"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1004",NA,6178,NA,6994,"CIP 762418","","",-9.7308,-77.8189,3750,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"1005",NA,6179,NA,6995,"CIP 762419","","",-9.7881,-77.7872,3495,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"1006",NA,6180,NA,6996,"CIP 761266","","",-9.6342,-77.7653,3661,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"1007",NA,6182,NA,6998,"CIP 761257","","",-9.8747,-77.7078,2945,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"1008",NA,6189,NA,7005,"CIP 762916","","",-9.5511,-77.6711,3756,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"1009",NA,6190,NA,7006,"CIP 762953","","",-9.5519,-77.67,3756,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"1010",NA,6193,NA,7009,"CIP 762971","","",-9.7869,-77.6411,3325,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"1011",NA,6195,NA,7011,"CIP 761267","","",-9.4789,-77.5864,3971,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"1012",NA,6196,NA,7012,"CIP 762244","","",-9.8003,-77.5675,3200,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"1013",NA,6197,NA,7013,"CIP 762979","","",-10.1531,-77.3839,3726,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"1014",NA,6198,NA,7014,"CIP 761420","","",-10.3772,-77.3769,3793,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
