"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"4758",2375,12140,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-3.460724,-79.177564,2000,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"4759",2553,12141,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.483915,-78.087323,2150,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4760",2860,12142,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-5.772801,-77.906281,1700,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4761",33392,12143,NA,NA,NA,"Knapp, S","0.9.2008",-5.670833,-79.342333,1940,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4762",33397,12144,NA,NA,NA,"Knapp, S","0.9.2008",-5.319333,-78.684167,1000,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4763",33472,12145,NA,NA,NA,"Knapp, S","0.9.2008",-12.400323,-74.900662,2400,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4764",33478,12146,NA,NA,NA,"Knapp, S","0.9.2008",-5.9061,-78.6734,500,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4765",4135,12147,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-13.5407,-72.6896,2350,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4766",4552,12148,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-10.452883,-75.137233,2591,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4767",4699,12149,NA,NA,NA,"Knapp, S","0.8.2004",-13.657667,-72.902167,2100,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4768",4890,12150,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-10.1243,-76.2094,2240,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4769",6117,12151,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-13.486225,-72.442905,1900,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4770",6300,12152,NA,NA,NA,NA,"0.0.0",-7.259375,-78.589445,1840,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4771",66179,12153,NA,NA,NA,NA,"0.0.0",-13.87312,-73.02347,2079,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4772",71067,12154,NA,NA,NA,"Särkinen, T","0.5.2013",-6.36516,-78.5857,1590,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4773",71165,12155,NA,NA,NA,"Särkinen, T","0.5.2013",-6.23536,-77.56551,2356,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4774",71265,12156,NA,NA,NA,"Särkinen, T","0.5.2013",-8.33361,-77.38197,2840,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4775",71739,12157,NA,NA,NA,"Knapp, S","0.0.2013",-7.333611,-78.79667,2100,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4776",75287,12158,NA,NA,NA,"Knapp, S","0.2.2014",-13.79627,-72.62485,1974,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4777",95404,12159,NA,NA,NA,"Knapp, S","0.6.2014",-6.317944,-77.93569,1755,"neorickii","neorickii","nongeophyte",NA,NA,"Potato","PER","Peru"
