"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2744",NA,6316,NA,7129,"CIP 764172","","",-23.25,-66.0833,NA,"neorossii","neorossii","tuberous","germplasm",24,"SŠrkinen","",""
"2745",NA,6317,NA,7130,"CIP 764171","","",-22.25,-65.0833,NA,"neorossii","neorossii","tuberous","germplasm",24,"SŠrkinen","",""
"2746",NA,6318,NA,7131,"CIP 764170","","",-22.25,-65.0667,NA,"neorossii","neorossii","tuberous","germplasm",24,"SŠrkinen","",""
"2747",NA,6319,NA,7132,"79969","","",-23.7,-65.0666,3100,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2748",NA,6320,NA,7133,"83712","","",-23.5167,-65.2167,3500,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2749",NA,6321,NA,7134,"79356","","",-22.1833,-64.8333,2750,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2750",NA,6322,NA,7135,"79040","","",-23.7334,-65.2501,2800,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2751",NA,6323,NA,7136,"87568","","",-24.4333,-65.95,3650,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2752",NA,6324,NA,7137,"79357","","",-22.2,-64.95,2250,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2753",NA,6325,NA,7138,"77989","","",-23.5666,-65.3666,3100,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2754",NA,6326,NA,7139,"79006","","",-23.2,-64.9166,3500,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2755",NA,6327,NA,7140,"79833","","",-24.62,-65.58,3350,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2756",NA,6328,NA,7141,"79801","","",-22.25,-65.0666,3200,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2757",NA,6329,NA,7142,"87563","","",-25.0333,-65.2833,3200,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2758",NA,6330,NA,7143,"83014","","",-23.1833,-66.2166,3200,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2759",NA,6331,NA,7144,"78362","","",-22.7166,-65.2,2900,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"2760",NA,6332,NA,7145,"473201","","",-22.250001,-65.095311,NA,"neorossii","neorossii","tuberous","germplasm",24,"SŠrkinen","",""
"2761",NA,6333,NA,7146,"473202","","",-22.250001,-65.092779,NA,"neorossii","neorossii","tuberous","germplasm",24,"SŠrkinen","",""
"2762",NA,6334,NA,7147,"PI 473201","","",-22.25,-65.033333,NA,"neorossii","neorossii","tuberous","germplasm",NA,"SŠrkinen","",""
"2763",NA,6336,NA,7149,"PI 473202","","",-22.25,-65.083333,NA,"neorossii","neorossii","tuberous","germplasm",NA,"SŠrkinen","",""
