"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2764",NA,6338,NA,7167,"CIP 762496","","",-17.0333,-67.25,3042,"okadae","okadae","tuberous","germplasm",24,"SŠrkinen","",""
"2765",NA,6339,NA,7168,"CIP 761349","","",-16.9833,-67.2167,3042,"okadae","okadae","tuberous","germplasm",24,"SŠrkinen","",""
"2766",NA,6343,NA,7172,"CIP 762302","","",-16.8258,-67.0814,2700,"okadae","okadae","tuberous","germplasm",24,"SŠrkinen","",""
"2767",NA,6346,NA,7175,"CIP 760452","","",-17.0667,-66.8167,3056,"okadae","okadae","tuberous","germplasm",24,"SŠrkinen","",""
"2768",NA,6347,NA,7176,"77290","","",-17.4167,-65.4167,3200,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"2769",NA,6348,NA,7177,"81480","","",-17.4167,-66.9167,2750,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"2770",NA,6349,NA,7178,"77282","","",-16.9667,-67.2,2800,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"2771",NA,6351,NA,7180,"77288","","",-17.1,-66.9167,2450,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"2772",NA,6352,NA,7181,"77291","","",-17.5167,-65.2667,3200,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"2773",NA,6353,NA,7182,"77124","","",-17.0333,-65.25,3060,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"2774",NA,6354,NA,7183,"77287","","",-17.2833,-66.6167,2670,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"2775",NA,6355,NA,7184,"77292","","",-20.5,-65.1667,0,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"2776",NA,6358,NA,7187,"PI 498063","","",-17.033333,-67.25,NA,"okadae","okadae","tuberous","germplasm",24,"SŠrkinen","",""
"2777",NA,6364,NA,7193,"PI 498130","","",-17.1,-66.916667,NA,"okadae","okadae","tuberous","germplasm",24,"SŠrkinen","",""
"2778",NA,6366,NA,7195,"PI 597759","","",-16.95,-67.183333,NA,"okadae","okadae","tuberous","germplasm",24,"SŠrkinen","",""
