"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2779",NA,6370,NA,7281,"CIP 763986","","",18.3328,-97.0669,2640,"oxycarpum","oxycarpum","tuberous","germplasm",48,"SŠrkinen","",""
"2780",NA,6371,NA,7282,"CIP 761931","","",18.5903,-95.9867,2181,"oxycarpum","oxycarpum","tuberous","germplasm",48,"SŠrkinen","",""
"2781",NA,6372,NA,7283,"CIP 763981","","",16.8183,-92.5803,2950,"oxycarpum","oxycarpum","tuberous","germplasm",48,"SŠrkinen","",""
"2782",NA,6374,NA,7285,"88812","","",19.34,-97.14,2100,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2783",NA,6375,NA,7286,"88898","","",20.251,-98.3739,2130,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2784",NA,6376,NA,7287,"89909","","",18.1031,-97.0022,2240,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2785",NA,6377,NA,7288,"89295","","",17.3381,-96.4755,0,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2786",NA,6378,NA,7289,"89413","","",20.4,-100.14,2660,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2787",NA,6379,NA,7290,"89887","","",18.0957,-96.5952,2370,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2788",NA,6380,NA,7291,"89935","","",20.1856,-98.153,2280,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2789",NA,6381,NA,7292,"88627","","",19.6166,-97.0333,2080,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2790",NA,6382,NA,7293,"91196","","",18.15,-96.85,0,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2791",NA,6383,NA,7294,"90817","","",18.14,-96.07,2000,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2792",NA,6384,NA,7295,"89886","","",17.31,-96.31,2850,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2793",NA,6385,NA,7296,"88817","","",19.4,-98.35,2150,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2794",NA,6386,NA,7297,"89419","","",18.4928,-97.3955,2000,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2795",NA,6387,NA,7298,"89009","","",17.165,-96.0833,2550,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2796",NA,6388,NA,7299,"88687","","",19.55,-97.26,1950,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2797",NA,6389,NA,7300,"89442","","",17.053,-96.78,0,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2798",NA,6390,NA,7301,"90154","","",18.15,-96.75,2060,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"2799",NA,6391,NA,7302,"595525","","",18.302017,-96.951825,NA,"oxycarpum","oxycarpum","tuberous","germplasm",NA,"SŠrkinen","",""
"2800",NA,6392,NA,7303,"PI 230479","","",18.233333,-96.116667,NA,"oxycarpum","oxycarpum","tuberous","germplasm",48,"SŠrkinen","",""
"2801",NA,6394,NA,7305,"PI 498272","","",18.590278,-96.986667,NA,"oxycarpum","oxycarpum","tuberous","germplasm",48,"SŠrkinen","",""
"2802",NA,6396,NA,7307,"PI 545776","","",17.466667,-96.5,NA,"oxycarpum","oxycarpum","tuberous","germplasm",48,"SŠrkinen","",""
