"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"4826",139552,12258,NA,NA,NA,"Knapp, S","0.11.2018",-6.986056,-77.72283,3040,"oxycoccoides","oxycoccoides","nongeophyte",NA,NA,"Potato","PER","Peru"
"4827",22850,12259,NA,NA,NA,"Nee, M","0.0.1988",-9.133333,-77.533333,4280,"oxycoccoides","oxycoccoides","nongeophyte",NA,NA,"Potato","PER","Peru"
"4828",22851,12260,NA,NA,NA,"Knapp, S","0.9.2008",-8.983333,-77.633333,4250,"oxycoccoides","oxycoccoides","nongeophyte",NA,NA,"Potato","PER","Peru"
"4829",30703,12261,NA,NA,NA,"Knapp, S","0.0.2013",-6.1671,-79.368417,3698,"oxycoccoides","oxycoccoides","nongeophyte",NA,NA,"Potato","PER","Peru"
"4830",33727,12262,NA,NA,NA,"Knapp, S","0.9.2008",-8.816667,-77.95,3900,"oxycoccoides","oxycoccoides","nongeophyte",NA,NA,"Potato","PER","Peru"
"4831",33728,12263,NA,NA,NA,"Knapp, S","0.9.2008",-9.383333,-77.45,4100,"oxycoccoides","oxycoccoides","nongeophyte",NA,NA,"Potato","PER","Peru"
"4832",33730,12264,NA,NA,NA,"Knapp, S","0.9.2008",-7.187933,-78.570517,3700,"oxycoccoides","oxycoccoides","nongeophyte",NA,NA,"Potato","PER","Peru"
"4833",70741,12265,NA,NA,NA,"Knapp, S","0.0.2013",-7.629417,-77.95897,3680,"oxycoccoides","oxycoccoides","nongeophyte",NA,NA,"Potato","PER","Peru"
"4834",75897,12266,NA,NA,NA,NA,"0.0.0",-6.342396,-79.12481,2100,"oxycoccoides","oxycoccoides","nongeophyte",NA,NA,"Potato","PER","Peru"
"4835",98055,12267,NA,NA,NA,"Cueva, M","0.11.2014",-10.20972,-76.10444,3614,"oxycoccoides","oxycoccoides","nongeophyte",NA,NA,"Potato","PER","Peru"
