"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"5387",1234,17585,NA,NA,NA,"Bennett, JR","30.3.2007",-24.916667,-70,550,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5388",1235,17586,NA,NA,NA,"Bennett, JR","30.3.2007",-25.883333,-70.433333,0,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5389",1236,17587,NA,NA,NA,"Bennett, JR","30.3.2007",-24.983333,-70.316667,0,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5390",1243,17588,NA,NA,NA,"Bennett, JR","30.3.2007",-24.583333,-70.413889,0,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5391",1252,17589,NA,NA,NA,"Bennett, JR","27.11.2006",-22.083333,-70.166667,0,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5392",1280,17590,NA,NA,NA,"Bennett, JR","27.11.2006",-18.216667,-69.583333,3430,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5393",17196,17591,NA,NA,NA,"Bennett, JR","27.11.2006",-29.116667,-71.016667,0,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5394",17198,17592,NA,NA,NA,"Bennett, JR","27.11.2006",-19.75,-69.233333,0,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5395",18183,17593,NA,NA,NA,"Bennett, JR","30.3.2007",-31.616667,-71.116667,0,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5396",18184,17594,NA,NA,NA,"Bennett, JR","30.3.2007",-29.783333,-71.05,500,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5397",18185,17595,NA,NA,NA,"Bennett, JR","0.6.2006",-27.816667,-70.3,0,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5398",1228,17596,NA,NA,NA,"Bennett, JR","27.11.2006",-16.3,-71.4,2800,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5399",1229,17597,NA,NA,NA,NA,"0.0.0",-16.55,-71.45,2400,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5400",1230,17598,NA,NA,NA,"Bennett, JR","27.11.2006",-15.933333,-71.75,2439,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5401",1232,17599,NA,NA,NA,"Bennett, JR","27.11.2006",-16.25,-71.666667,2500,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5402",1237,17600,NA,NA,NA,"Bennett, JR","27.11.2006",-17.266667,-70.233333,3000,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5403",1238,17601,NA,NA,NA,"Bennett, JR","27.11.2006",-17.716667,-70.133333,0,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5404",1241,17602,NA,NA,NA,"Bennett, JR","0.0.2007",-16.356005,-71.58005,2439,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5405",1261,17603,NA,NA,NA,"Bennett, JR","30.3.2007",-11.884937,-76.46791,1900,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5406",1267,17604,NA,NA,NA,"Bennett, JR","27.11.2006",-16.916667,-70.866667,2550,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5407",1268,17605,NA,NA,NA,"Bennett, JR","27.11.2006",-16.466667,-72.5,1500,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
"5408",10001,17606,NA,NA,NA,"Bennett, JR","0.10.2006",-16.016667,-71.866667,2500,"paposanum","paposanum","nongeophyte",NA,NA,"GagnOl","PER","Peru"
