"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"4897",3929,12335,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-18.483333,-69.9,1500,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","CHL","Chile"
"4898",1956,12336,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-17.16683,-70.934357,1380,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4899",2046,12337,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-14.717543,-74.254765,0,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4900",2417,12338,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-9.9982,-78.1862,0,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4901",2506,12339,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.052693,-73.920318,0,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4902",2520,12340,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.468197,-76.620637,2850,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4903",27650,12341,NA,NA,NA,"Knapp, S","0.9.2008",-16.787667,-70.903867,1660,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4904",2827,12342,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-12.335793,-76.819912,10,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4905",3176,12343,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.616667,-79,770,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4906",3260,12344,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-15.773202,-73.557868,1950,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4907",3300,12345,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-5.9251,-80.935,100,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4908",3312,12346,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-12.32237,-76.25696,1200,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4909",3315,12347,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.935785,-76.700508,800,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
"4910",3316,12348,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-15.864746,-74.235822,100,"pennellii","pennellii","nongeophyte",NA,NA,"Potato","PER","Peru"
