"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"5000",53633,12456,NA,NA,NA,"Tepe, EJ","20.6.2009",8.4504,-82.1504,1300,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","PAN","Panama"
"5001",107540,12455,NA,NA,NA,"Tepe, EJ","0.0.2009",8.8,-82.4,1707,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","PAN","Panama"
"5002",16163,12446,NA,NA,NA,"Bohs, L","0.6.2002",9.358333,-83.225,1810,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"5003",47087,12447,NA,NA,NA,"Bohs, L","0.12.2005",9.452,-83.47,1250,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"5004",53684,12449,NA,NA,NA,"Tepe, EJ","20.6.2009",10.03,-84.01,1660,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"5005",96023,12452,NA,NA,NA,"Knapp, S","0.0.2014",10.06,-83.59,1200,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"5006",53694,12451,NA,NA,NA,"Tepe, EJ","20.6.2009",10.12,-84.19,1700,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"5007",53556,12448,NA,NA,NA,"Tepe, EJ","20.6.2009",10.18,-84.48,1500,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"5008",107094,12445,NA,NA,NA,"Tepe, EJ","0.0.2009",10.30583,-84.80861,0,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"5009",53685,12450,NA,NA,NA,"Tepe, EJ","20.6.2009",10.46,-83.46,1400,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"5010",53562,12453,NA,NA,NA,"Tepe, EJ","0.0.2009",14.455,-91.789444,518,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","GTM","Guatemala"
"5011",53637,12454,NA,NA,NA,"Tepe, EJ","20.6.2009",15.05,-86.44,1415,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","HND","Honduras"
"5012",53636,12444,NA,NA,NA,"Tepe, EJ","20.6.2009",16.530275,-89.084994,500,"phaseoloides","phaseoloides","nongeophyte",NA,NA,"Potato","BLZ","Belize"
