"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2812",NA,6417,NA,7335,"CIP 766114","","",21.5,-101.9833333,1950,"pinnatisectum","pinnatisectum","tuberous","germplasm",NA,"SŠrkinen","",""
"2813",NA,6418,NA,7336,"CIP 760722","","",21.1167,-101.6667,1800,"pinnatisectum","pinnatisectum","tuberous","germplasm",24,"SŠrkinen","",""
"2814",NA,6419,NA,7337,"CIP 766113","","",20.6,-100.3833333,1900,"pinnatisectum","pinnatisectum","tuberous","germplasm",NA,"SŠrkinen","",""
"2815",NA,6420,NA,7338,"88698","","",21.07,-101.4,1800,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2816",NA,6421,NA,7339,"90523","","",20.56,-101.77,2200,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2817",NA,6422,NA,7340,"88751","","",21.3,-101.59,1950,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2818",NA,6423,NA,7341,"90233","","",19.6868,-101.331,1950,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2819",NA,6424,NA,7342,"89514","","",19.6,-101.58,0,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2820",NA,6425,NA,7343,"90511","","",19.9666,-101.767,1750,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2821",NA,6426,NA,7344,"89835","","",20.225,-100.87,1750,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2822",NA,6427,NA,7345,"89407","","",20.4093,-101.197,0,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2823",NA,6428,NA,7346,"91233","","",20.9166,-100.75,1981,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2824",NA,6429,NA,7347,"89789","","",20.3242,-103.444,1500,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2825",NA,6430,NA,7348,"90165","","",19.7,-101.12,2000,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2826",NA,6431,NA,7349,"89764","","",19.7029,-101.215,2050,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2827",NA,6432,NA,7350,"89040","","",20.57,-100.32,1940,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2828",NA,6433,NA,7351,"89400","","",20.1421,-103.041,0,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2829",NA,6434,NA,7352,"88832","","",20.3,-100.08,1900,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2830",NA,6435,NA,7353,"90617","","",19.675,-104.35,0,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2831",NA,6436,NA,7354,"89688","","",20.34347,-100.1942,2000,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2832",NA,6437,NA,7355,"88758","","",20.4,-103.2,1600,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2833",NA,6438,NA,7356,"90508","","",19.8795,-100.95,1900,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2834",NA,6439,NA,7357,"90338","","",20.8833,-100.533,2195,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2835",NA,6440,NA,7358,"82909","","",20.15,-102.06,1850,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2836",NA,6441,NA,7359,"88759","","",20.55,-100.45,2000,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"2837",NA,6443,NA,7361,"PI 190115","","",19.7,-101.116667,NA,"pinnatisectum","pinnatisectum","tuberous","germplasm",24,"SŠrkinen","",""
"2838",NA,6445,NA,7363,"PI 275234","","",21.5,-101.983333,NA,"pinnatisectum","pinnatisectum","tuberous","germplasm",24,"SŠrkinen","",""
"2839",NA,6449,NA,7367,"PI 347766","","",21.116667,-101.666667,NA,"pinnatisectum","pinnatisectum","tuberous","germplasm",24,"SŠrkinen","",""
