"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"5419",857,17929,NA,NA,NA,"Bennett, JR","0.3.2007",-32.883333,-71.3,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5420",1362,17930,NA,NA,NA,"Bennett, JR","0.3.2007",-30.66,-71.66,500,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5421",1364,17931,NA,NA,NA,"Bennett, JR","0.3.2007",-33.033333,-71.6,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5422",1366,17932,NA,NA,NA,"Bennett, JR","0.3.2007",-29.83,-70.93,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5423",1367,17933,NA,NA,NA,NA,"0.0.0",-29.95,-71.116667,50,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5424",1368,17934,NA,NA,NA,"Bennett, JR","0.3.2007",-32.55,-71.466667,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5425",1369,17935,NA,NA,NA,NA,"0.0.0",-30.016667,-70.65,750,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5426",1382,17936,NA,NA,NA,"Bennett, JR","0.7.2006",-27.35,-70.716667,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5427",1388,17938,NA,NA,NA,NA,"0.0.0",-34.383333,-72,5,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5428",1391,17939,NA,NA,NA,"Muñoz, SM","0.6.1992",-29.34,-71.2,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5429",1393,17940,NA,NA,NA,"Johnston, IM","0.6.1941",-28.25,-70.75,100,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5430",1402,17941,NA,NA,NA,"Bennett, JR","0.3.2007",-29.733333,-71.25,50,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5431",1406,17942,NA,NA,NA,"Bennett, JR","0.3.2007",-32.966667,-71.483333,3,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5432",1409,17944,NA,NA,NA,"Bennett, JR","0.7.2006",-33.633333,-71.6,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5433",1411,17945,NA,NA,NA,"Bennett, JR","0.7.2006",-33.9,-71.683333,35,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5434",1415,17946,NA,NA,NA,"Bennett, JR","0.7.2006",-32.8,-70.966667,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5435",1424,17947,NA,NA,NA,"Bennett, JR","0.7.2006",-36.833333,-73.05,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5436",1445,17948,NA,NA,NA,"Bennett, JR","0.6.2006",-33.75,-70.316667,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5437",1446,17949,NA,NA,NA,"Bennett, JR","0.7.2006",-32.566667,-71.316667,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5438",1466,17950,NA,NA,NA,"Bennett, JR","0.3.2007",-31.4,-71.583333,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5439",9979,17951,NA,NA,NA,"Bennett, JR","0.10.2005",-33.166667,-70.483333,2300,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5440",14495,17952,NA,NA,NA,"Bennett, JR","25.7.2005",-36.483333,-72.7,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5441",14497,17953,NA,NA,NA,"Bennett, JR","25.7.2005",-32.166667,-70.4,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5442",14505,17954,NA,NA,NA,"Bennett, JR","25.7.2005",-37.2,-73.566667,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5443",17057,17955,NA,NA,NA,"Bennett, JR","25.7.2005",-32.25,-71.466667,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5444",17118,17956,NA,NA,NA,"Bennett, JR","17.11.2006",-29.15,-70.966667,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5445",17760,17957,NA,NA,NA,"Bennett, JR","0.2.2007",-31.55,-71.3,20,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5446",17831,17958,NA,NA,NA,"Bennett, JR","0.7.2006",-32.816667,-70.683333,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5447",96853,17959,NA,NA,NA,NA,"0.0.0",-30.18333,-71.38333,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"5448",96856,17960,NA,NA,NA,NA,"0.0.0",-29.5,-71.33333,0,"pinnatum","pinnatum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
