"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2840",NA,6451,NA,7369,"CIP 761868","","",-5.3119,-79.6258,2200,"piurae","piurae","tuberous","germplasm",24,"SŠrkinen","",""
"2841",NA,6452,NA,7370,"CIP 761072","","",-5.1961,-79.5575,3128,"piurae","piurae","tuberous","germplasm",24,"SŠrkinen","",""
"2842",NA,6453,NA,7371,"CIP 765861","","",-5.3611,-79.5505,3200,"piurae","piurae","tuberous","germplasm",NA,"SŠrkinen","",""
"2843",NA,6455,NA,7373,"CIP 765863","","",-5.3477,-79.54,3155,"piurae","piurae","tuberous","germplasm",NA,"SŠrkinen","",""
"2844",NA,6456,NA,7374,"CIP 760953","","",-5.2403,-79.4486,1949,"piurae","piurae","tuberous","germplasm",24,"SŠrkinen","",""
"2845",NA,6457,NA,7375,"76835","","",-4.93333,-79.9167,0,"piurae","piurae","tuberous","wild",NA,"SŠrkinen","",""
"2846",NA,6458,NA,7376,"91599","","",-5.5,-79.58333,2300,"piurae","piurae","tuberous","wild",NA,"SŠrkinen","",""
"2847",NA,6459,NA,7377,"81642","","",-5.36667,-79.8167,3000,"piurae","piurae","tuberous","wild",NA,"SŠrkinen","",""
"2848",NA,6460,NA,7378,"74954","","",-5.217003,-79.39914,3000,"piurae","piurae","tuberous","wild",NA,"SŠrkinen","",""
"2849",NA,6461,NA,7379,"81277","","",-5.04361,-79.7322,3060,"piurae","piurae","tuberous","wild",NA,"SŠrkinen","",""
"2850",NA,6462,NA,7380,"PI 310997","","",-5.5,-79.666667,NA,"piurae","piurae","tuberous","germplasm",24,"SŠrkinen","",""
