"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1399",NA,6500,NA,7417,"CIP 763291","","",-13.4658,-72.6197,3500,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1400",NA,6501,NA,7418,"CIP 761786","","",-13.1761,-72.5511,2123,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1401",NA,6505,NA,7422,"CIP 761013","","",-14.4361,-72.5228,3250,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1402",NA,6506,NA,7423,"CIP 762000","","",-13.2031,-72.5028,3100,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1403",NA,6507,NA,7424,"CIP 765893","","",-13.2142,-72.3006,2921,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1404",NA,6508,NA,7425,"CIP 761671","","",-13.3697,-72.2775,3500,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1405",NA,6512,NA,7429,"CIP 761127","","",-13.4878,-72.1606,3460,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1406",NA,6513,NA,7430,"CIP 761675","","",-13.245,-72.1317,3200,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1407",NA,6517,NA,7434,"CIP 765903","","",-13.3212,-72.1196,3178,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1408",NA,6518,NA,7435,"CIP 765902","","",-13.3192,-72.1191,3153,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1409",NA,6519,NA,7436,"CIP 765900","","",-13.3166,-72.1145,3046,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1410",NA,6520,NA,7437,"CIP 761794","","",-13.2942,-72.0733,3500,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1411",NA,6521,NA,7438,"CIP 765874","","",-13.4981,-72.0334,3517,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1412",NA,6522,NA,7439,"CIP 761640","","",-13.4917,-71.9881,2966,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1413",NA,6526,NA,7443,"CIP 760355","","",-13.5039,-71.9861,3583,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1414",NA,6532,NA,7449,"CIP 761638","","",-13.5514,-71.9814,3230,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1415",NA,6533,NA,7450,"CIP 761059","","",-13.4878,-71.9786,3839,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1416",NA,6534,NA,7451,"CIP 761977","","",-13.2639,-71.9553,3100,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1417",NA,6535,NA,7452,"CIP 761990","","",-13.2658,-71.9236,3418,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1418",NA,6536,NA,7453,"CIP 761106","","",-13.4797,-71.9222,3609,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1419",NA,6537,NA,7454,"CIP 765909","","",-13.5523,-71.8738,3204,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1420",NA,6538,NA,7455,"CIP 763354","","",-13.5578,-71.8733,3672,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1421",NA,6539,NA,7456,"CIP 762021","","",-13.5578,-71.8647,3672,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1422",NA,6540,NA,7457,"CIP 760351","","",-13.4208,-71.8511,2966,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1423",NA,6547,NA,7464,"CIP 761683","","",-13.5825,-71.8136,3119,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1424",NA,6548,NA,7465,"CIP 761742","","",-13.3892,-71.8089,3050,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1425",NA,6549,NA,7466,"CIP 761655","","",-13.5736,-71.7886,3120,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1426",NA,6550,NA,7467,"CIP 765752","","",-13.4178,-71.7702,4339,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1427",NA,6551,NA,7468,"CIP 765906","","",-13.3955,-71.7526,3962,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1428",NA,6552,NA,7469,"CIP 763391","","",-14.7822,-71.6892,4041,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1429",NA,6553,NA,7470,"CIP 762393","","",-13.8928,-71.6725,3650,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1430",NA,6554,NA,7471,"CIP 761116","","",-14.0536,-71.6244,3735,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1431",NA,6555,NA,7472,"CIP 761700","","",-13.3186,-71.5956,2923,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1432",NA,6556,NA,7473,"CIP 761110","","",-14.0361,-71.5708,3699,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1433",NA,6561,NA,7478,"CIP 761759","","",-13.805,-71.5331,3350,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1434",NA,6562,NA,7479,"CIP 761692","","",-13.3219,-71.4961,3500,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1435",NA,6565,NA,7482,"CIP 761633","","",-13.9836,-71.4889,3426,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1436",NA,6568,NA,7485,"CIP 765915","","",-14.3805,-71.4848,3619,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1437",NA,6569,NA,7486,"CIP 762388","","",-14.4914,-71.4783,3800,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1438",NA,6570,NA,7487,"CIP 761695","","",-12.9881,-71.4289,686,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1439",NA,6571,NA,7488,"CIP 762705","","",-13.6222,-71.3717,3717,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1440",NA,6572,NA,7489,"CIP 762827","","",-14.2725,-71.2253,3550,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1441",NA,6573,NA,7490,"CIP 765920","","",-14.2677,-71.2233,3627,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1442",NA,6574,NA,7491,"CIP 765759","","",-14.2677,-71.2232,3632,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"1443",NA,6575,NA,7492,"CIP 761632","","",-14.3578,-71.1683,3693,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1444",NA,6579,NA,7496,"CIP 762826","","",-14.3597,-71.1642,3693,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1445",NA,6580,NA,7497,"CIP 761410","","",-14.4867,-71.1619,3550,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1446",NA,6582,NA,7499,"CIP 761976","","",-14.2508,-71.1039,3700,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1447",NA,6583,NA,7500,"CIP 761618","","",-14.4783,-70.9622,4640,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1448",NA,6584,NA,7501,"CIP 761973","","",-14.4511,-70.66,4055,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"1449",NA,6585,NA,7502,"92103","","",-14.36667,-71.13333,0,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1450",NA,6586,NA,7503,"94978","","",-13.56667,-71.7,3000,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1451",NA,6587,NA,7504,"95263","","",-14.4167,-72.75,3350,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1452",NA,6588,NA,7505,"94669","","",-14.58333,-70.31667,4000,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1453",NA,6589,NA,7506,"83654","","",-13.9425,-71.70764,3050,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1454",NA,6590,NA,7507,"91949","","",-13.2,-72.05,3200,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1455",NA,6591,NA,7508,"75145","","",-13.38452,-71.9028,2949,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1456",NA,6592,NA,7509,"82298","","",-14.2667,-71.2333,3700,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1457",NA,6593,NA,7510,"81611","","",-13.1994,-72.4447,3100,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1458",NA,6594,NA,7511,"82189","","",-13.9833,-71.6,3800,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1459",NA,6595,NA,7512,"94314","","",-13.6,-71.45,3200,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1460",NA,6596,NA,7513,"82094","","",-14.1019,-72.7067,3000,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1461",NA,6597,NA,7514,"81909","","",-13.3156,-71.5917,3160,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1462",NA,6598,NA,7515,"82089","","",-14.0833,-72.5833,3000,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1463",NA,6600,NA,7517,"83003","","",-13.4833,-72.3833,3100,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1464",NA,6601,NA,7518,"82634","","",-13.5667,-72.0167,3500,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1465",NA,6602,NA,7519,"94568","","",-14.45,-72.91667,3300,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1466",NA,6603,NA,7520,"91665","","",-13.46667,-72.15,3200,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1467",NA,6604,NA,7521,"92354","","",-13.28333,-72.23333,2800,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1468",NA,6605,NA,7522,"94633","","",-13.0833,-71.8,2800,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1469",NA,6606,NA,7523,"80445","","",-15.85,-70.5833,4500,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1470",NA,6607,NA,7524,"92300","","",-16.13,-70.5,3460,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1471",NA,6608,NA,7525,"82146","","",-14.3956,-71.4919,3800,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1472",NA,6609,NA,7526,"82995","","",-14.1833,-71.35,3550,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1473",NA,6610,NA,7527,"94274","","",-13.90933,-71.87517,3600,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1474",NA,6612,NA,7529,"94704","","",-13.6,-72.55,3800,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
"1475",NA,6613,NA,7530,"83005","","",-13,-72.1667,3300,"raphanifolium","raphanifolium","tuberous","wild",NA,"SŠrkinen","",""
