"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2879",NA,6678,NA,7642,"CIP 761928","","",19.0375,-97.8161,2520,"schenckii","schenckii","tuberous","germplasm",72,"SŠrkinen","",""
"2880",NA,6679,NA,7643,"CIP 761885","","",17.2667,-97.6833,2055,"schenckii","schenckii","tuberous","germplasm",72,"SŠrkinen","",""
"2881",NA,6681,NA,7645,"CIP 761887","","",16.9497,-96.4361,2770,"schenckii","schenckii","tuberous","germplasm",72,"SŠrkinen","",""
"2882",NA,6682,NA,7646,"88749","","",21.06,-99.42,2900,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2883",NA,6683,NA,7647,"88964","","",18.8666,-97.4,2420,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2884",NA,6684,NA,7648,"91219","","",16.1,-96.15,3500,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2885",NA,6686,NA,7650,"88618","","",17.1833,-96.5,2770,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2886",NA,6687,NA,7651,"89014","","",17.16,-97.41,2750,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2887",NA,6688,NA,7652,"90785","","",19.8833,-97.5833,0,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2888",NA,6689,NA,7653,"88828","","",18.51,-97.21,2470,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2889",NA,6690,NA,7654,"88671","","",17.1734,-96.7478,0,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2890",NA,6691,NA,7655,"89904","","",17.0944,-93.3502,2720,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2891",NA,6692,NA,7656,"89958","","",17.09,-96.36,2690,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2892",NA,6693,NA,7657,"90405","","",17.23,-97.52,1780,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"2893",NA,6694,NA,7658,"PI 498250","","",16.283333,-97.683333,NA,"schenckii","schenckii","tuberous","germplasm",72,"SŠrkinen","",""
"2894",NA,6696,NA,7660,"PI 498280","","",17.266667,-97.683333,NA,"schenckii","schenckii","tuberous","germplasm",72,"SŠrkinen","",""
