"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2895",NA,6698,NA,7710,"CIP 763104","","",28.2167,-106.5667,1680,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"2896",NA,6699,NA,7711,"CIP 761915","","",28.8183,-106.4539,1775,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"2897",NA,6700,NA,7712,"CIP 761917","","",28.85,-106.3333,1650,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"2898",NA,6701,NA,7713,"CIP 761927","","",28.2167,-105.3167,1228,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"2899",NA,6702,NA,7714,"CIP 763781","","",21,-103.4167,1547,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"2900",NA,6703,NA,7715,"CIP 763860","","",21.95,-102.5833,NA,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"2901",NA,6705,NA,7717,"CIP 763859","","",22.3167,-102.45,NA,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"2902",NA,6706,NA,7718,"CIP 761891","","",19.0075,-99.2308,NA,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"2903",NA,6707,NA,7719,"89896","","",20.35,-103.39,1440,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2904",NA,6709,NA,7721,"89110","","",21.87,-102.44,2200,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2905",NA,6710,NA,7722,"88878","","",28.8333,-106.317,2150,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2906",NA,6711,NA,7723,"88722","","",27.45,-106.035,1750,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2907",NA,6712,NA,7724,"88879","","",28.85,-106.45,1950,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2908",NA,6713,NA,7725,"88449","","",20.9718,-103.41,1400,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2909",NA,6714,NA,7726,"89678","","",22.216,-103.1,2100,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2910",NA,6715,NA,7727,"89517","","",30.6059,-108.676,1463,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2911",NA,6716,NA,7728,"91524","","",22.466,-104.733,0,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2912",NA,6717,NA,7729,"90550","","",28.8,-106.686,1780,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2913",NA,6718,NA,7730,"88770","","",29.08,-106.05,2150,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2914",NA,6719,NA,7731,"89879","","",21.5513,-102.3419,2100,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2915",NA,6720,NA,7732,"88876","","",26.3271,-106.361,1800,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2916",NA,6721,NA,7733,"89737","","",21.17,-101.51,2050,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2917",NA,6722,NA,7734,"91109","","",28.08,-106.2,1640,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2918",NA,6723,NA,7735,"90960","","",27.27,-105.5,2100,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2919",NA,6724,NA,7736,"88719","","",22.45,-102.35,2164,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2920",NA,6725,NA,7737,"88693","","",22.19,-102.27,2420,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2921",NA,6726,NA,7738,"90330","","",19.6467,-101.527,2000,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2922",NA,6727,NA,7739,"88976","","",23.38,-104.42,2350,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2923",NA,6729,NA,7741,"90334","","",19.9095,-99.8416,2550,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2924",NA,6730,NA,7742,"88875","","",26.02,-105.7,2300,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2925",NA,6731,NA,7743,"90270","","",21.38,-103.06,2160,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2926",NA,6732,NA,7744,"88718","","",29.442,-106.518,0,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2927",NA,6733,NA,7745,"90269","","",21.35,-102.51,2460,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2928",NA,6734,NA,7746,"89024","","",29.08,-106.2,0,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2929",NA,6735,NA,7747,"90344","","",22.4666,-102.817,2100,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2930",NA,6736,NA,7748,"88871","","",26.17,-106,2250,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2931",NA,6737,NA,7749,"91516","","",30.5333,-109.633,0,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"2932",NA,6738,NA,7750,"90667","","",23.4833,-102.867,0,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
