"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2946",NA,6761,NA,7773,"CIP 761281","","",-15.7667,-68.6333,3550,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"2947",NA,6763,NA,7775,"CIP 761030","","",-17.0333,-67.25,4465,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"2948",NA,6764,NA,7776,"CIP 762303","","",-16.9833,-67.2167,3042,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"2949",NA,6765,NA,7777,"CIP 760450","","",-17.0667,-66.8167,3056,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"2950",NA,6768,NA,7780,"CIP 763111","","",-17.65,-66.6333,4368,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"2951",NA,6769,NA,7781,"CIP 760435","","",-17.1775,-64.885,2650,"stipuloideum","stipuloideum","tuberous","germplasm",NA,"SŠrkinen","",""
"2952",NA,6770,NA,7782,"CIP 762522","","",-16.7081,-64.6617,NA,"stipuloideum","stipuloideum","tuberous","germplasm",NA,"SŠrkinen","",""
"2953",NA,6771,NA,7783,"CIP 760431","","",-18.4897,-64.1069,2017,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"2954",NA,6772,NA,7784,"161664","","",-18.69889,-64.88861,2575,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2955",NA,6774,NA,7786,"77202","","",-16.95,-67.1833,2900,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2956",NA,6776,NA,7788,"77200","","",-17.1667,-66.4167,3800,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2957",NA,6777,NA,7789,"84054","","",-16.6167,-67.6833,0,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2958",NA,6778,NA,7790,"87625","","",-17.6315,-66.95643,3800,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2959",NA,6779,NA,7791,"85547","","",-17.5,-65.46667,0,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2960",NA,6780,NA,7792,"81757","","",-18.0833,-64.15,2200,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2961",NA,6781,NA,7793,"161663","","",-18.11556,-65.77417,2464,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2962",NA,6783,NA,7795,"77132","","",-17.05,-67.2833,3400,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2963",NA,6784,NA,7796,"87072","","",-17.85,-66.11667,2500,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2964",NA,6785,NA,7797,"80219","","",-19.4292,-64.6977,3361,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2965",NA,6786,NA,7798,"77261","","",-17.3833,-66.35,3300,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2966",NA,6787,NA,7799,"77653","","",-17.6667,-66.6167,3200,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2967",NA,6788,NA,7800,"82734","","",-15.4167,-68.6333,3050,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2968",NA,6789,NA,7801,"54736","","",-19.88604,-65.66527,3700,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2969",NA,6790,NA,7802,"967","","",-17.87789,-65.93096,2800,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2970",NA,6791,NA,7803,"161658","","",-18.70028,-64.26361,1740,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2971",NA,6792,NA,7804,"77645","","",-17.3667,-66.05,3100,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"2972",NA,6793,NA,7805,"77637","","",-16.1833,-68.3833,2750,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
