"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"5139",161659,13101,NA,NA,NA,"Knapp, S","0.10.2019",-15.53333,-67.35,650,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"5140",24607,13102,NA,NA,NA,NA,"0.0.0",-16.337262,-67.82499,0,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"5141",35404,13103,NA,NA,NA,"Knapp, S","0.0.2006",-14.37502,-68.2522,1297,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"5142",35412,13104,NA,NA,NA,"Knapp, S","0.0.2006",-16.20305,-67.26625,1155,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"5143",112078,13105,NA,NA,NA,"Correll, DS","0.0.1962",4.933859,-74.43444,1600,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","COL","Colombia"
"5144",112233,13106,NA,NA,NA,"Correll, DS","0.0.1962",1.209976,-76.80697,1600,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","COL","Colombia"
"5145",7992,13107,NA,NA,NA,"Knapp, S","0.0.2000",10.304167,-84.811111,1500,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"5146",26830,13108,NA,NA,NA,"Nee, M","0.0.1997",-1.616667,-80.833333,20,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"5147",26833,13109,NA,NA,NA,"Knapp, S","0.0.0",-2.166667,-79.833333,100,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"5148",9196,13110,NA,NA,NA,"Knapp, S","0.0.2002",17.160694,-89.658397,0,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","GTM","Guatemala"
"5149",7754,13111,NA,NA,NA,"Nee, M","0.0.1995",15.416667,-85.783333,635,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","HND","Honduras"
"5150",7759,13112,NA,NA,NA,"Nee, M","0.0.1995",17.266667,-93.016667,750,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"5151",132554,13113,NA,NA,NA,"Orejuela, A","1.6.2017",-8.354639,-76.73242,1007,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","PER","Peru"
"5152",15189,13114,NA,NA,NA,"Knapp, S","0.0.2005",-5.683333,-77.65,1000,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","PER","Peru"
"5153",22212,13115,NA,NA,NA,"Knapp, S","0.0.2014",-6.6,-76.166667,250,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","PER","Peru"
"5154",23277,13117,NA,NA,NA,NA,"0.0.0",-10.066667,-71.1,300,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","PER","Peru"
"5155",23278,13118,NA,NA,NA,"Knapp, S","0.0.2014",-10.2,-70.95,190,"suaveolens","suaveolens","nongeophyte",NA,NA,"Potato","PER","Peru"
