"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"5192",105104,13161,NA,NA,NA,"Knapp, S","0.1.2016",-14.78722,-69.02667,3061,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"5193",11465,13162,NA,NA,NA,"Nee, M","0.0.1997",-17.26613,-65.55602,0,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"5194",35338,13163,NA,NA,NA,"Knapp, S","0.0.2006",-15.090142,-68.485737,1500,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","BOL","Bolivia"
"5195",114654,13164,NA,NA,NA,"Nee, M","1.1.1988",2.198881,-76.09716,2300,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"5196",115106,13165,NA,NA,NA,"Orozco, CI","1.1.1999",5.966881,-73.1632,2600,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"5197",122124,13166,NA,NA,NA,"Nee, M","1.1.1988",4.097671,-74.41397,2300,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"5198",124306,13167,NA,NA,NA,"Vélez, JM","16.3.2011",6.604694,-73.35833,0,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"5199",124375,13168,NA,NA,NA,"Orozco, CI","1.1.1999",5.809952,-73.49441,2400,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"5200",19247,13169,NA,NA,NA,"Knapp, S","0.0.2007",-4.494917,-79.131917,2500,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"5201",35938,13170,NA,NA,NA,"Knapp, S","0.0.2007",-0.633333,-77.833333,2000,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"5202",74781,13171,NA,NA,NA,"Knapp, S","0.2.2014",-4.116667,-78.61667,900,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"5203",11466,13172,NA,NA,NA,"Knapp, S","0.0.1996",-11.205912,-75.480655,1900,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5204",139673,13173,NA,NA,NA,"Knapp, S","0.11.2018",-11.38389,-74.02889,1346,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5205",139703,13174,NA,NA,NA,"Knapp, S","0.11.2018",-11.30056,-74.97889,3180,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5206",15526,13175,NA,NA,NA,"Knapp, S","0.0.2006",-10.433333,-75.383333,2210,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5207",20620,13176,NA,NA,NA,"Knapp, S","0.3.2007",-9.507825,-75.93533,900,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5208",21596,13177,NA,NA,NA,"Särkinen, T","0.9.2014",-10.2,-75.216667,430,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5209",21773,13178,NA,NA,NA,"Nee, M","0.0.2008",-10.372167,-75.608,2720,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5210",21930,13179,NA,NA,NA,"Knapp, S","0.0.2012",-13.15,-72.5,2200,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5211",23328,13180,NA,NA,NA,"Knapp, S; Helgason, T","0.0.1996",-9.176957,-75.800327,1620,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5212",23330,13181,NA,NA,NA,"Nee, M","0.0.1986",-9.7,-76.083333,2850,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5213",23331,13182,NA,NA,NA,"Nee, M","0.0.1991",-6.366042,-78.797345,2400,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
"5214",23335,13183,NA,NA,NA,"Nee, M","0.0.2005",-4.9875,-78.9025,2010,"ternatum","ternatum","nongeophyte",NA,NA,"Potato","PER","Peru"
