"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3460",NA,7654,NA,8666,"CIP 764145","","",19.6333,-102,NA,"trifidum","trifidum","tuberous","germplasm",24,"SŠrkinen","",""
"3461",NA,7655,NA,8667,"CIP 764153","","",19.3333,-102,NA,"trifidum","trifidum","tuberous","germplasm",24,"SŠrkinen","",""
"3462",NA,7656,NA,8668,"88998","","",19.51,-103.63,2200,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3463",NA,7657,NA,8669,"89989","","",19.4,-101.98,3050,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3464",NA,7658,NA,8670,"89643","","",20.7175,-103.49,0,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3465",NA,7659,NA,8671,"88450","","",19.7333,-103.783,2100,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3466",NA,7660,NA,8672,"88467","","",19.9579,-103.688,2000,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3467",NA,7661,NA,8673,"88783","","",19.69,-102.05,2400,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3468",NA,7662,NA,8674,"90640","","",19.45,-101.72,2700,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3469",NA,7663,NA,8675,"88453","","",19.9166,-103.064,2100,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3470",NA,7664,NA,8676,"88997","","",19.46,-102.25,0,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3471",NA,7665,NA,8677,"89252","","",20.064,-103.841,2100,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3472",NA,7666,NA,8678,"80101","","",19.4865,-101.603,2400,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3473",NA,7667,NA,8679,"90118","","",19.95,-101.75,2270,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3474",NA,7668,NA,8680,"88977","","",19.39,-101.5,2720,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3475",NA,7669,NA,8681,"89767","","",19.7304,-101.179,2700,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3476",NA,7670,NA,8682,"89610","","",19.33,-103.38,2300,"trifidum","trifidum","tuberous","wild",NA,"SŠrkinen","",""
"3477",NA,7671,NA,8683,"292217","","",19.646387,-102.055696,NA,"trifidum","trifidum","tuberous","germplasm",NA,"SŠrkinen","",""
"3478",NA,7672,NA,8684,"PI 255536","","",19.633333,-102,NA,"trifidum","trifidum","tuberous","germplasm",24,"SŠrkinen","",""
"3479",NA,7678,NA,8690,"PI 255540","","",19.55,-103.633333,NA,"trifidum","trifidum","tuberous","germplasm",24,"SŠrkinen","",""
"3480",NA,7687,NA,8699,"PI 283064","","",19.333333,-102,NA,"trifidum","trifidum","tuberous","germplasm",24,"SŠrkinen","",""
"3481",NA,7690,NA,8702,"PI 283065","","",19.5,-103.666667,NA,"trifidum","trifidum","tuberous","germplasm",24,"SŠrkinen","",""
