"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3510",NA,7725,NA,8773,"CIP 766110","","",-25.16666667,-65.86666667,3000,"vernei","vernei","tuberous","germplasm",NA,"SŠrkinen","",""
"3511",NA,7726,NA,8774,"CIP 763718","","",-25.1667,-65.85,3175,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"3512",NA,7727,NA,8775,"CIP 763679","","",-23.1322,-65.5181,3922,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"3513",NA,7728,NA,8776,"CIP 763728","","",-23.2333,-65.3667,2978,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"3514",NA,7729,NA,8777,"CIP 763727","","",-23.5833,-65.2167,2950,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"3515",NA,7730,NA,8778,"CIP 763710","","",-22.2667,-65.1833,3717,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"3516",NA,7731,NA,8779,"CIP 763729","","",-22.15,-65.0333,3003,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"3517",NA,7732,NA,8780,"CIP 763028","","",-23.1667,-64.95,3600,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"3518",NA,7734,NA,8782,"CIP 763712","","",-24.2967,-64.8203,3410,"vernei","vernei","tuberous","germplasm",24,"SŠrkinen","",""
"3519",NA,7735,NA,8783,"84429","","",-24.07,-65.65,3200,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"3520",NA,7736,NA,8784,"77946","","",-26.3666,-65.95,2800,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"3521",NA,7737,NA,8785,"80744","","",-28.75,-66.1833,2400,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"3522",NA,7738,NA,8786,"77206","","",-23.5667,-65.3667,2340,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
"3523",NA,7739,NA,8787,"85658","","",-26.8166,-65.2166,0,"vernei","vernei","tuberous","wild",NA,"SŠrkinen","",""
