"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1054",NA,7791,NA,8839,"CIP 763029","","",19.4,-101.6,2325,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1055",NA,7792,NA,8840,"CIP 763857","","",25.2,-100.0667,2348,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1056",NA,7793,NA,8841,"CIP 763779","","",19.15,-99.8,2680,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1057",NA,7794,NA,8842,"CIP 763858","","",19.7381,-99.7589,3801,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1058",NA,7795,NA,8843,"CIP 760746","","",19.3,-99.65,2680,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1059",NA,7797,NA,8845,"CIP 763855","","",20.0328,-98.6828,2960,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1060",NA,7798,NA,8846,"CIP 763863","","",19.0375,-97.8161,2838,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1061",NA,7875,NA,8923,"PI 255544","","",19.25,-98.5,NA,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1062",NA,7878,NA,8926,"PI 310966","","",19.033333,-98.633333,NA,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1063",NA,7881,NA,8929,"PI 320344","","",19.45,-101.6,NA,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1064",NA,7884,NA,8932,"PI 498010","","",20.032778,-98.682778,NA,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1065",NA,7887,NA,8935,"PI 558433","","",19.416667,-102.533333,NA,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
"1066",NA,7890,NA,8938,"PI 558488","","",19.566667,-103.583333,NA,"verrucosum_24","verrucosum","tuberous","germplasm",24,"SŠrkinen","",""
